"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","112.6","1,405.8","10.1","0.8","199.8"
"George Kittle","SF","97.0","1,219.0","6.6","0.7","160.2"
"Darren Waller","LV","100.4","1,148.6","7.1","0.9","155.9"
"Mark Andrews","BAL","69.5","848.3","8.2","0.9","132.3"
"Kyle Pitts","ATL","69.0","832.3","6.4","1.2","119.0"
"T.J. Hockenson","DET","73.8","814.3","5.2","0.8","111.1"
"Dallas Goedert","PHI","63.2","705.6","5.1","0.7","99.8"
"Robert Tonyan","GB","54.6","601.8","6.2","0.1","97.2"
"Tyler Higbee","LAR","58.0","653.8","5.4","0.6","96.3"
"Noah Fant","DEN","62.1","689.9","4.4","0.6","94.2"
"Logan Thomas","WAS","62.9","645.6","5.0","0.6","93.2"
"Mike Gesicki","MIA","55.3","621.8","5.3","0.7","92.5"
"Irv Smith Jr.","MIN","51.8","569.2","5.4","0.7","87.9"
"Rob Gronkowski","TB","42.1","549.8","5.5","0.2","87.8"
"Jared Cook","LAC","45.9","577.3","5.1","0.6","87.3"
"Eric Ebron","PIT","58.0","573.3","4.6","0.7","83.3"
"Evan Engram","NYG","57.9","587.4","3.7","0.7","79.6"
"Jonnu Smith","NE","53.3","558.7","4.1","0.7","79.2"
"Hunter Henry","NE","51.3","555.8","3.9","0.6","77.9"
"Blake Jarwin","DAL","47.9","535.9","4.1","0.2","77.7"
"Austin Hooper","CLE","49.8","499.6","4.5","0.6","75.6"
"Anthony Firkser","TEN","48.7","522.9","3.8","0.1","75.0"
"Adam Trautman","NO","49.6","537.7","3.8","0.7","75.0"
"Gerald Everett","SEA","41.9","431.5","3.9","0.6","65.2"
"Dawson Knox","BUF","35.4","407.3","3.7","0.7","61.9"
"Zach Ertz","PHI","42.0","434.0","3.0","0.1","61.1"
"Cole Kmet","CHI","43.2","431.2","3.1","1.2","59.7"
"Tyler Eifert","JAC","40.8","401.2","3.1","0.0","58.6"
"Chris Herndon IV","NYJ","41.5","420.3","3.2","1.7","58.1"
"Hayden Hurst","ATL","38.5","404.6","2.9","0.1","58.0"
"Jordan Akins","HOU","39.7","422.1","2.5","0.1","57.2"
"C.J. Uzomah","CIN","36.7","358.0","3.2","0.1","55.1"
"Jack Doyle","IND","34.0","350.6","3.2","0.2","54.2"
"Mo Alie-Cox","IND","32.9","358.5","2.7","0.6","50.6"
"Will Dissly","SEA","30.3","317.9","3.0","0.1","49.5"
"Donald Parham Jr.","LAC","28.0","340.4","2.5","0.1","48.8"
"O.J. Howard","TB","27.1","343.1","2.5","0.7","47.8"
"Dan Arnold","CAR","27.7","346.2","2.3","0.7","47.0"
"Tyler Conklin","MIN","29.4","308.5","2.4","0.1","44.9"
"David Njoku","CLE","24.3","260.9","2.6","0.0","41.8"
"Jimmy Graham","CHI","23.8","249.3","2.7","0.1","40.8"
"Dalton Schultz","DAL","26.5","275.2","2.1","0.6","38.9"
"Jacob Hollister","BUF","27.1","244.5","2.1","0.5","36.1"
