"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Brandon Allen","CIN","28.9","18.4","199.5","1.2","0.9","2.5","10.2","0.0","0.1","11.8"
"Geno Smith","SEA","26.4","16.3","181.4","1.3","0.5","2.0","3.7","0.0","0.2","11.7"
"C.J. Beathard","JAC","28.5","17.3","195.0","1.1","0.4","2.4","10.3","0.0","0.6","11.3"
"James Morgan","NYJ","29.4","17.8","203.6","1.1","0.8","1.2","5.2","0.1","0.2","11.2"
"David Blough","DET","27.9","16.9","188.0","1.0","0.9","2.6","10.0","0.0","0.1","10.8"
"Kellen Mond","MIN","21.0","13.2","153.0","1.1","0.4","1.7","7.8","0.1","0.1","10.7"
"Matt Schaub","ATL","28.0","18.0","202.0","1.0","1.0","4.0","3.0","0.0","0.0","10.4"
"Colt McCoy","ARI","24.0","16.0","169.0","1.0","1.0","3.0","16.0","0.0","0.0","10.4"
"Mike Glennon","NYG","26.2","16.7","177.1","1.2","0.9","2.4","11.2","0.0","0.6","10.0"
"Logan Woodside","TEN","19.3","11.9","133.2","1.2","0.4","2.9","8.7","0.0","0.1","9.9"
"Dwayne Haskins","PIT","28.0","17.0","170.0","1.0","1.0","3.0","10.0","0.0","0.0","9.8"
"Joe Flacco","PHI","27.5","16.1","170.0","1.1","0.8","2.5","11.5","0.0","0.6","9.6"
"Sam Ehlinger","IND","18.0","12.0","129.0","1.0","0.0","1.0","4.0","0.0","0.0","9.6"
"Nate Sudfeld","SF","20.7","12.8","151.3","0.9","0.8","2.3","12.3","0.0","0.1","9.4"
"Jarrett Stidham","NE","21.0","14.0","152.0","1.0","1.0","5.0","10.0","0.0","0.0","9.1"
"Case Keenum","CLE","22.1","14.2","158.3","1.1","0.7","1.7","7.3","0.0","0.6","9.0"
"Nick Mullens","SF","23.0","16.0","192.0","1.0","1.0","5.0","9.0","0.0","1.0","8.6"
"Davis Mills","HOU","14.2","9.5","112.4","0.7","0.2","0.7","2.3","0.0","0.0","7.3"
"Ian Book","NO","17.0","12.0","120.0","1.0","1.0","1.0","4.0","0.0","0.0","7.2"
"Tim Boyle","DET","12.0","8.0","88.0","0.0","0.0","4.0","3.0","0.0","0.0","3.8"
""
""
