"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Cordarrelle Patterson","ATL","55.1","252.2","1.6","15.1","134.1","0.7","0.2","52.0"
"Kenneth Gainwell","PHI","61.8","280.9","1.9","14.1","112.9","0.5","1.1","51.6"
"Marlon Mack","IND","70.6","299.8","2.5","9.2","64.8","0.2","0.6","51.3"
"Qadree Ollison","ATL","67.3","257.9","2.4","9.0","71.7","0.2","0.7","47.3"
"Mark Ingram II","HOU","58.7","241.8","1.8","10.7","89.7","0.7","0.6","47.1"
"Chuba Hubbard","CAR","61.7","261.5","2.0","10.7","86.8","0.4","1.1","46.9"
"Devontae Booker","NYG","68.8","291.5","1.7","10.8","71.8","0.2","0.7","46.2"
"Rex Burkhead","HOU","35.7","150.4","1.4","16.7","158.2","1.3","0.6","45.7"
"Trayveon Williams","CIN","54.3","234.6","1.5","15.9","125.2","0.6","1.6","45.1"
"Kyle Juszczyk","SF","13.8","52.4","0.7","21.9","232.0","2.0","0.7","43.2"
"DeeJay Dallas","SEA","46.7","186.3","1.6","14.5","107.1","0.7","0.6","41.9"
"Boston Scott","PHI","40.0","168.6","1.4","18.1","143.8","0.5","0.6","41.0"
"Rhamondre Stevenson","NE","52.0","227.9","1.8","8.6","64.9","0.3","1.0","39.9"
"Jeff Wilson Jr.","SF","45.7","195.3","2.6","2.5","29.5","0.5","1.0","39.4"
"Mike Boone","DEN","50.4","238.6","1.8","6.6","44.5","0.1","0.6","39.1"
"Benny Snell Jr.","PIT","62.6","232.6","1.8","7.0","48.2","0.2","0.7","38.6"
"Samaje Perine","CIN","48.9","207.0","1.4","9.1","61.7","0.2","0.1","36.4"
"Peyton Barber","WAS","55.9","198.2","2.1","5.0","32.8","0.1","0.6","35.2"
"Brandon Bolden","NE","19.9","100.6","2.3","4.9","49.9","0.6","0.0","32.5"
"Brian Hill","TEN","45.6","234.3","1.0","4.8","35.2","0.1","0.6","32.3"
"Matt Breida","BUF","42.5","184.7","0.9","9.6","76.9","0.4","1.1","32.0"
"Carlos Hyde","JAC","52.0","211.8","1.4","5.6","32.9","0.0","0.6","31.8"
"Javian Hawkins","ATL","46.0","189.5","1.5","4.6","35.4","0.1","0.2","31.6"
"Johnny Stanton","CLE","20.0","100.0","1.0","9.0","71.0","1.0","0.0","29.1"
"La'Mical Perine","NYJ","36.6","154.3","1.1","6.4","47.2","0.2","0.2","27.5"
"Elijah Mitchell","SF","25.1","117.4","1.3","5.8","53.0","0.2","0.0","25.5"
"Jalen Richard","LV","17.3","75.5","0.2","17.2","134.0","0.6","0.1","25.5"
"Jermar Jefferson","DET","29.9","122.3","0.9","9.4","69.9","0.1","0.1","24.7"
"D'Onta Foreman","TEN","36.0","168.0","1.0","1.0","8.0","0.0","0.0","23.6"
"Larry Rountree III","LAC","28.7","120.4","1.1","4.6","34.9","0.2","0.1","22.9"
"Jaylen Samuels","PIT","24.2","101.4","0.6","7.9","52.4","0.3","0.1","20.6"
"Jerick McKinnon","KC","22.6","99.5","0.5","8.5","62.1","0.3","0.1","20.5"
"Tony Brooks-James","ATL","33.0","139.4","0.8","0.9","6.3","0.0","0.0","19.5"
"Anthony McFarland Jr.","PIT","29.8","115.3","0.5","5.7","45.2","0.1","0.6","18.6"
"Justice Hill","BAL","19.4","88.9","0.6","5.2","37.2","0.2","0.1","17.2"
"Kerryon Johnson","PHI","26.1","102.2","0.6","3.7","29.6","0.1","0.3","16.9"
"Ameer Abdullah","MIN","18.9","76.1","0.3","8.0","58.5","0.3","0.1","16.7"
"Eno Benjamin","ARI","23.5","100.4","0.6","3.4","27.0","0.1","0.1","16.5"
"JaMycal Hasty","SF","21.4","104.8","0.6","2.7","18.7","0.1","0.0","16.5"
"Jeremy McNichols","TEN","21.8","96.8","0.5","4.7","31.6","0.1","0.1","16.3"
"Demetric Felton","CLE","18.7","89.7","0.7","2.5","20.6","0.0","0.0","15.3"
"Travis Homer","SEA","17.7","75.1","0.4","6.0","43.8","0.2","0.2","15.2"
"Josh Adams","NYJ","16.6","79.0","1.1","0.9","5.5","0.0","0.0","15.0"
"Dexter Williams","GB","12.7","54.2","0.4","6.6","49.2","0.3","0.1","14.3"
"Dontrell Hilliard","HOU","12.4","45.0","1.0","4.9","36.6","0.0","0.0","14.2"
"Lamar Miller","WAS","14.9","62.4","0.8","3.1","25.4","0.1","0.0","13.9"
"Raymond Calais","LAR","13.1","54.4","0.7","3.9","31.0","0.1","0.1","13.1"
"D'Ernest Johnson","CLE","18.5","79.4","0.4","3.6","27.5","0.1","0.2","13.1"
"Jordan Howard","PHI","14.9","64.4","1.0","0.4","4.5","0.0","0.0","12.9"
"Royce Freeman","DEN","16.2","67.9","0.4","3.6","22.5","0.1","0.0","12.2"
"Xavier Jones","LAR","18.8","76.0","0.5","2.1","15.7","0.0","0.0","12.1"
"Ty Montgomery","NO","14.3","53.9","0.1","6.1","47.9","0.2","0.1","11.9"
"Jordan Wilkins","IND","14.7","72.9","0.4","1.7","12.3","0.1","0.0","11.6"
"Trey Edmunds","PIT","12.7","55.1","0.3","3.9","25.8","0.2","0.0","11.2"
"Kene Nwangwu","MIN","23.0","91.0","0.0","3.0","21.0","0.0","0.0","11.2"
"Ke'Shawn Vaughn","TB","13.8","58.5","0.4","2.4","17.1","0.1","0.0","10.8"
"Gary Brightwell","NYG","16.2","69.4","0.3","2.6","18.9","0.0","0.1","10.5"
"J.J. Taylor","NE","13.6","59.2","0.4","1.9","14.7","0.0","0.0","10.0"
"Patrick Ricard","BAL","1.3","3.0","0.0","8.8","58.0","0.8","0.5","9.9"
"Alec Ingold","LV","4.5","18.8","0.2","6.6","54.7","0.3","0.1","9.8"
"Kylin Hill","GB","20.0","80.6","0.1","1.5","11.0","0.0","0.0","9.7"
"C.J. Ham","MIN","4.7","19.9","0.2","5.9","50.0","0.3","0.1","9.6"
"Chris Evans","CIN","14.9","57.3","0.1","2.3","17.0","0.1","0.1","8.6"
"Theo Riddick","LV","7.3","30.9","0.1","5.4","42.3","0.1","0.1","8.2"
"Reggie Bonnafon","CAR","12.0","45.5","0.1","3.4","25.2","0.0","0.1","8.1"
"Alex Armah","NO","4.4","18.5","0.2","4.5","36.3","0.2","0.1","7.7"
"Ryquell Armstead","NYG","8.3","35.2","0.2","2.2","16.2","0.2","0.0","7.2"
"Rico Dowdle","DAL","7.2","30.7","0.2","2.8","22.0","0.1","0.1","7.1"
"Andrew Beck","DEN","4.9","21.2","0.2","4.1","28.0","0.2","0.0","7.0"
"Khalil Herbert","CHI","8.3","34.4","0.2","2.0","16.3","0.1","0.0","6.7"
"Buddy Howell","HOU","4.0","17.1","0.2","4.1","28.2","0.2","0.0","6.5"
"Mike Warren II","DET","7.7","31.4","0.2","2.3","16.7","0.1","0.0","6.2"
"Nick Bellore","SEA","1.6","6.6","0.0","4.4","32.0","0.3","0.0","5.8"
"Gabe Nabers","LAC","3.3","14.4","0.1","3.2","25.1","0.2","0.1","5.8"
"Keith Smith","ATL","3.2","13.7","0.1","3.4","26.1","0.2","0.1","5.5"
"Andy Janovich","CLE","1.2","5.3","0.0","4.0","33.2","0.2","0.0","5.0"
"Alex Collins","SEA","4.8","20.2","0.2","1.4","10.6","0.0","0.1","4.3"
"Derek Watt","PIT","4.2","17.9","0.1","1.7","12.2","0.1","0.0","4.3"
"Antonio Williams","BUF","6.4","27.5","0.2","0.4","3.2","0.0","0.0","4.2"
"Ben Mason","BAL","0.0","0.0","0.0","3.5","27.7","0.2","0.0","4.1"
"Darwin Thompson","KC","3.9","16.5","0.2","1.7","12.3","0.1","0.0","4.1"
"Dwayne Washington","NO","4.7","20.0","0.1","1.5","11.6","0.0","0.0","4.0"
"Michael Burton","KC","3.3","13.9","0.1","1.9","14.8","0.1","0.0","3.9"
"Patrick Laird","MIA","2.8","11.6","0.1","2.7","19.8","0.1","0.0","3.9"
"Corey Clement","NYG","4.2","17.5","0.2","0.5","3.6","0.0","0.0","3.0"
"Elijhaa Penny","NYG","2.5","10.3","0.1","1.5","10.9","0.0","0.0","2.8"
"Khari Blasingame","TEN","0.5","2.1","0.0","2.3","19.5","0.1","0.0","2.7"
"Jakob Johnson","NE","0.0","0.0","0.0","2.2","18.7","0.1","0.0","2.2"
"Dare Ogunbowale","JAC","2.1","8.8","0.0","1.4","9.4","0.0","0.0","1.8"
"Devine Ozigbo","JAC","2.7","11.8","0.1","0.4","3.1","0.0","0.0","1.8"
"Jonathan Williams","WAS","2.3","9.8","0.0","0.9","7.0","0.0","0.0","1.7"
"Kalen Ballage","PIT","2.1","8.5","0.0","1.0","5.7","0.0","0.0","1.4"
"Taiwan Jones","BUF","1.1","4.7","0.0","0.9","7.2","0.0","0.0","1.2"
"Elijah McGuire","KC","0.9","3.5","0.0","0.9","7.2","0.0","0.0","1.1"
"C.J. Prosise","TB","0.9","3.6","0.0","1.0","7.0","0.0","0.0","1.1"
"Ryan Nall","CHI","0.9","3.7","0.0","0.9","6.5","0.0","0.0","1.0"
"Artavis Pierce","CHI","0.9","3.8","0.0","0.9","6.3","0.0","0.0","1.0"
"Adrian Killins Jr.","PHI","0.9","3.9","0.0","0.9","6.0","0.0","0.0","1.0"
"Jason Huntley","PHI","0.9","3.9","0.0","0.9","6.0","0.0","0.0","1.0"
"Austin Walter","NYJ","0.9","3.6","0.0","0.9","6.3","0.0","0.0","1.0"
"LeVante Bellamy","DEN","1.0","4.4","0.0","0.9","5.5","0.0","0.0","1.0"
"Nathan Cottrell","JAC","0.9","3.6","0.0","0.9","6.2","0.0","0.0","1.0"
"Damarea Crockett","DEN","1.0","4.2","0.0","0.9","5.5","0.0","0.0","1.0"
"Jason Cabinda","DET","0.8","3.5","0.0","0.9","6.1","0.0","0.0","1.0"
"Scottie Phillips","HOU","0.8","3.5","0.0","0.9","5.9","0.0","0.0","0.9"
"Jordan Scarlett","MIA","0.9","3.9","0.0","0.9","5.3","0.0","0.0","0.9"
"Trenton Cannon","CAR","1.0","4.0","0.0","0.8","5.0","0.0","0.0","0.9"
"Taquan Mizzell","NYG","0.9","3.7","0.0","0.9","5.4","0.0","0.0","0.9"
"Cullen Gillaspia","NYG","0.9","3.7","0.0","0.9","5.2","0.0","0.0","0.9"
"Tony Jones Jr.","NO","0.9","0.7","0.0","0.2","0.4","0.0","0.0","0.1"
""
""
