"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","297.7","1,304.2","12.1","96.9","787.9","4.5","2.5","303.7"
"Dalvin Cook","MIN","317.4","1,490.3","13.0","56.0","481.7","2.0","2.9","281.1"
"Derrick Henry","TEN","344.1","1,686.4","14.4","25.8","192.1","1.2","2.7","275.7"
"Saquon Barkley","NYG","272.9","1,261.8","9.6","57.8","448.6","2.0","1.8","237.2"
"Alvin Kamara","NO","206.9","945.7","9.7","77.9","666.5","3.4","1.9","236.2"
"Jonathan Taylor","IND","277.7","1,288.9","11.1","41.8","320.6","1.9","1.9","234.9"
"Nick Chubb","CLE","274.2","1,373.8","11.1","28.7","227.5","1.0","1.9","228.6"
"Aaron Jones","GB","234.1","1,135.5","10.3","50.4","394.5","2.6","2.1","226.1"
"Ezekiel Elliott","DAL","283.0","1,206.6","9.5","52.5","389.3","2.3","3.0","224.6"
"Cam Akers","LAR","274.5","1,230.9","9.6","36.5","338.3","2.0","2.0","222.4"
"Joe Mixon","CIN","278.0","1,171.6","8.2","50.2","368.6","2.9","2.0","216.4"
"Najee Harris","PIT","260.1","1,155.7","8.6","49.5","367.8","2.2","2.6","212.3"
"Austin Ekeler","LAC","181.8","826.7","4.8","80.7","698.9","4.9","1.6","207.4"
"Antonio Gibson","WAS","245.4","1,103.8","9.9","45.7","331.3","1.4","2.1","206.8"
"D'Andre Swift","DET","206.5","905.4","8.3","60.0","442.7","2.1","2.3","192.8"
"Chris Carson","SEA","228.2","1,045.6","7.3","43.4","320.9","2.4","2.1","190.7"
"J.K. Dobbins","BAL","212.0","1,076.7","9.4","30.1","228.4","1.1","1.6","190.4"
"Josh Jacobs","LV","250.0","1,068.0","9.4","31.5","236.3","0.9","2.0","188.2"
"Clyde Edwards-Helaire","KC","218.7","984.3","6.9","48.8","376.2","2.1","1.7","186.6"
"David Montgomery","CHI","247.4","1,037.0","7.9","37.5","298.9","1.5","1.9","186.1"
"Miles Sanders","PHI","217.8","1,044.9","6.4","43.4","360.9","1.7","1.8","185.7"
"Myles Gaskin","MIA","216.1","917.7","6.1","48.2","372.9","2.0","2.1","173.3"
"Mike Davis","ATL","227.0","895.6","6.6","48.8","311.7","1.7","1.9","166.6"
"Chase Edmonds","ARI","173.2","770.8","4.9","52.2","382.0","2.9","1.5","159.1"
"Kareem Hunt","CLE","154.6","684.1","5.5","38.9","317.8","2.5","1.3","145.9"
"Travis Etienne","JAC","133.5","596.6","4.0","59.4","478.1","2.4","1.9","142.6"
"Raheem Mostert","SF","156.4","778.6","6.1","24.9","216.8","1.3","1.4","141.6"
"James Robinson","JAC","179.7","786.0","5.4","30.5","220.8","1.0","1.4","136.1"
"Melvin Gordon III","DEN","182.8","805.3","6.1","26.4","167.1","1.0","3.0","133.9"
"David Johnson","HOU","147.8","619.0","4.7","35.9","322.5","2.3","1.5","133.1"
"Leonard Fournette","TB","166.0","684.5","6.3","32.5","224.1","1.1","1.2","132.7"
"Damien Harris","NE","199.0","933.2","5.3","10.1","76.8","0.2","1.4","131.7"
"Javonte Williams","DEN","177.1","786.5","5.0","21.5","164.9","1.0","1.9","127.4"
"Ronald Jones II","TB","169.7","766.9","5.9","18.9","134.0","0.4","1.4","125.1"
"Zack Moss","BUF","155.6","665.4","5.6","23.3","167.7","0.9","1.2","120.1"
"Kenyan Drake","LV","137.3","571.2","4.6","35.1","247.7","0.8","1.4","111.5"
"James Conner","ARI","140.4","623.1","5.4","21.8","151.9","0.7","1.4","111.4"
"Trey Sermon","SF","138.1","627.6","5.2","18.6","152.1","1.0","1.7","111.2"
"Gus Edwards","BAL","149.9","728.7","4.7","10.5","88.0","0.3","1.3","108.7"
"Latavius Murray","NO","142.6","606.8","4.1","26.2","188.0","1.0","1.2","107.9"
"Michael Carter","NYJ","144.9","608.0","4.0","26.2","201.7","0.9","1.8","106.9"
"Jamaal Williams","DET","129.9","526.6","3.3","35.3","237.7","1.3","1.2","101.8"
"Devin Singletary","BUF","122.8","542.2","3.0","31.7","224.0","1.3","1.3","99.4"
"AJ Dillon","GB","139.2","627.4","4.1","14.5","110.2","0.5","1.4","98.7"
"Tony Pollard","DAL","112.2","502.4","3.2","29.6","217.9","1.3","1.2","96.6"
"Tevin Coleman","NYJ","142.1","559.8","3.9","18.5","140.3","0.6","1.2","94.5"
"J.D. McKissic","WAS","66.6","288.9","1.5","56.4","410.3","1.7","0.8","88.1"
"Tarik Cohen","CHI","69.8","291.2","1.4","57.3","394.8","2.3","1.3","88.0"
"Nyheim Hines","IND","62.1","266.6","1.9","49.5","369.0","2.2","1.2","85.9"
"Darrell Henderson","LAR","110.4","469.4","3.7","16.6","137.9","0.8","1.1","85.5"
"James White","NE","52.5","215.0","1.7","52.1","421.5","2.3","1.2","85.3"
"Alexander Mattison","MIN","112.8","507.5","2.6","16.5","134.3","0.6","0.7","82.5"
"Sony Michel","NE","115.5","510.3","3.4","8.4","72.7","0.4","0.7","79.7"
"Rashaad Penny","SEA","90.8","423.4","3.1","15.4","120.7","0.7","0.7","76.2"
"Phillip Lindsay","HOU","104.2","460.6","2.7","20.4","130.8","0.3","1.1","75.2"
"Darrel Williams","KC","78.5","328.4","3.3","21.1","155.4","0.8","0.6","71.5"
"Salvon Ahmed","MIA","79.3","333.8","2.2","14.4","95.9","0.5","0.3","58.8"
"Damien Williams","CHI","62.1","259.2","2.5","18.4","132.4","1.0","0.6","58.8"
"Wayne Gallman","SF","71.6","315.3","2.9","9.8","75.9","0.4","1.0","57.4"
"Justin Jackson","LAC","77.5","350.4","1.6","15.8","112.6","0.4","0.6","57.2"
"Malcolm Brown","MIA","76.3","295.3","3.4","10.0","66.9","0.2","0.6","56.2"
"Giovani Bernard","TB","49.6","181.6","1.3","31.5","240.4","1.3","0.6","56.0"
"Joshua Kelley","LAC","98.2","366.7","2.4","9.3","67.4","0.2","1.7","55.7"
"Darrynton Evans","TEN","54.2","234.8","1.9","16.8","138.6","1.0","0.7","53.6"
"Ty Johnson","NYJ","60.9","262.7","1.7","18.5","127.8","0.6","0.1","52.7"
