"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Qadree Ollison","ATL","84.1","318.3","3.4","8.9","77.7","0.1","0.7","59.1"
"Justin Jackson","LAC","72.8","338.4","1.7","19.2","134.8","0.4","0.6","58.1"
"Chuba Hubbard","CAR","72.0","295.0","2.3","14.8","125.6","0.7","1.1","57.8"
"Trayveon Williams","CIN","67.2","287.8","1.9","20.2","161.7","0.7","1.6","57.1"
"Malcolm Brown","MIA","75.8","287.8","3.1","14.7","100.2","0.2","0.6","57.1"
"Kyle Juszczyk","SF","14.4","55.8","0.7","26.9","295.0","3.1","0.7","56.9"
"Kenneth Gainwell","PHI","61.5","292.0","1.8","15.0","127.7","0.8","1.1","55.5"
"Marlon Mack","IND","83.0","338.1","2.6","8.5","59.6","0.1","0.6","54.6"
"Benny Snell Jr.","PIT","85.0","313.3","3.0","7.6","49.7","0.2","0.7","54.0"
"Mark Ingram II","HOU","55.0","212.9","2.1","12.6","116.1","1.1","0.6","51.2"
"Devontae Booker","NYG","74.1","323.9","1.8","12.5","78.0","0.2","0.7","50.8"
"Brian Hill","TEN","68.0","369.6","1.7","4.0","33.5","0.0","0.5","49.3"
"Brandon Bolden","NE","22.0","124.0","4.0","5.0","63.0","1.0","0.0","48.7"
"Rhamondre Stevenson","NE","55.5","253.0","2.2","8.4","73.1","0.6","1.0","47.3"
"Matt Breida","BUF","60.6","264.4","1.2","14.3","114.5","0.6","1.1","46.6"
"Boston Scott","PHI","35.9","159.0","1.3","17.1","141.7","0.6","0.6","40.7"
"Carlos Hyde","JAC","60.2","247.2","2.0","7.7","45.4","0.1","0.6","40.4"
"Kerryon Johnson","PHI","50.0","208.1","1.7","8.2","68.1","0.3","0.3","39.2"
"Peyton Barber","WAS","61.7","203.3","2.3","5.2","33.6","0.1","0.6","36.8"
"Samaje Perine","CIN","36.9","161.6","1.6","12.5","89.3","0.4","0.1","36.6"
"Mike Boone","DEN","48.5","240.9","1.5","3.1","19.3","0.1","0.6","34.1"
"Javian Hawkins","ATL","42.8","176.1","1.4","4.5","34.1","0.2","0.2","30.1"
"Johnny Stanton","CLE","20.0","100.0","1.0","9.0","71.0","1.0","0.0","29.1"
"Jerick McKinnon","KC","21.1","86.8","0.8","14.4","112.9","0.6","0.1","28.2"
"D'Ernest Johnson","CLE","32.6","144.5","1.1","5.9","47.4","0.3","0.2","26.9"
"Dontrell Hilliard","HOU","23.0","82.0","2.0","9.0","67.0","0.0","0.0","26.9"
"JaMycal Hasty","SF","35.0","190.0","1.0","2.0","12.0","0.0","0.0","26.2"
"Josh Adams","NYJ","28.0","136.0","2.0","1.0","5.0","0.0","0.0","26.1"
"Anthony McFarland Jr.","PIT","45.0","168.5","0.9","5.0","41.3","0.1","0.6","26.0"
"Ameer Abdullah","MIN","23.9","97.6","0.6","12.0","91.2","0.6","0.1","25.8"
"Xavier Jones","LAR","25.1","104.4","1.4","6.9","55.4","0.3","0.1","25.4"
"Travis Homer","SEA","30.1","127.1","1.0","6.3","47.0","0.3","0.2","24.9"
"Jordan Howard","PHI","29.0","125.0","2.0","0.0","3.0","0.0","0.0","24.8"
"Eno Benjamin","ARI","32.3","142.1","1.1","4.2","35.9","0.1","0.1","24.7"
"Jeremy McNichols","TEN","30.9","135.2","0.9","6.5","40.8","0.2","0.1","24.1"
"D'Onta Foreman","TEN","37.0","171.0","1.0","1.0","7.0","0.0","0.0","23.8"
"Jermar Jefferson","DET","26.8","111.4","0.7","6.9","51.8","0.2","0.1","21.6"
"Lamar Miller","WAS","21.9","91.8","1.2","4.3","34.5","0.1","0.0","20.3"
"Jaylen Samuels","PIT","19.4","80.6","0.5","10.5","72.0","0.4","0.1","20.2"
"Justice Hill","BAL","19.3","82.9","0.6","7.1","53.9","0.4","0.1","19.5"
"Jalen Richard","LV","17.4","77.6","0.4","9.1","78.4","0.3","0.1","19.4"
"Ty Montgomery","NO","12.7","53.6","0.3","10.3","86.7","0.5","0.1","18.8"
"Dexter Williams","GB","16.1","68.8","0.5","8.7","67.0","0.4","0.1","18.7"
"Ty Johnson","NYJ","20.7","90.8","0.6","4.2","30.0","0.1","0.1","16.4"
"Elijah Mitchell","SF","20.6","98.5","0.6","2.0","22.5","0.0","0.0","15.7"
"Demetric Felton","CLE","18.7","90.2","0.7","2.5","20.6","0.0","0.0","15.4"
"Jordan Wilkins","IND","19.3","96.9","0.6","1.5","11.6","0.0","0.0","14.5"
"Patrick Ricard","BAL","0.5","-1.5","0.0","12.0","79.5","1.1","0.5","13.5"
"Rico Dowdle","DAL","13.6","57.6","0.5","4.7","37.2","0.2","0.1","13.2"
"Larry Rountree III","LAC","20.4","85.7","0.8","0.0","0.0","0.0","0.1","13.2"
"Alec Ingold","LV","4.4","18.3","0.1","8.4","74.4","0.4","0.1","12.1"
"C.J. Ham","MIN","4.8","20.0","0.2","7.8","67.4","0.4","0.1","11.7"
"Theo Riddick","LV","13.1","54.1","0.4","4.4","33.0","0.2","0.1","11.6"
"Buddy Howell","HOU","14.9","63.3","0.4","2.2","17.3","0.1","0.1","10.9"
"Gary Brightwell","NYG","12.3","50.8","0.5","2.1","15.8","0.1","0.1","10.0"
"Chris Evans","CIN","7.8","32.5","0.3","4.5","34.0","0.2","0.1","9.1"
"Reggie Bonnafon","CAR","7.3","31.9","0.2","4.3","32.8","0.1","0.1","8.6"
"Raymond Calais","LAR","8.4","34.8","0.5","2.3","18.5","0.1","0.0","8.4"
"Alex Collins","SEA","8.6","36.0","0.4","2.0","14.8","0.1","0.1","7.7"
"Ke'Shawn Vaughn","TB","8.1","34.4","0.2","2.4","18.0","0.1","0.0","7.2"
"Dwayne Washington","NO","8.5","36.1","0.2","2.1","17.1","0.1","0.0","7.1"
"Alex Armah","NO","4.2","17.6","0.1","4.0","36.0","0.2","0.1","7.0"
"Keith Smith","ATL","4.3","17.9","0.1","4.4","35.9","0.1","0.1","6.9"
"Royce Freeman","DEN","9.2","38.1","0.2","2.2","14.7","0.1","0.0","6.8"
"J.J. Taylor","NE","4.7","20.2","0.2","3.9","30.2","0.1","0.0","6.7"
"Khalil Herbert","CHI","8.0","33.5","0.2","2.1","16.6","0.1","0.0","6.7"
"Patrick Laird","MIA","4.0","16.8","0.1","4.6","34.1","0.2","0.0","6.6"
"Gabe Nabers","LAC","2.0","8.8","0.1","4.5","37.7","0.2","0.1","6.3"
"Michael Burton","KC","3.5","14.9","0.1","2.3","20.0","0.1","0.0","5.0"
"Darwin Thompson","KC","3.5","14.7","0.1","2.4","18.1","0.1","0.0","4.7"
"Elijhaa Penny","NYG","4.1","16.9","0.2","2.1","16.6","0.1","0.0","4.7"
"Khari Blasingame","TEN","0.0","0.0","0.0","3.8","34.1","0.2","0.0","4.5"
"Antonio Williams","BUF","7.2","31.0","0.2","0.0","0.0","0.0","0.0","4.5"
"Andy Janovich","CLE","0.0","0.0","0.0","3.7","34.5","0.2","0.0","4.4"
"Ben Mason","BAL","0.0","0.0","0.0","3.5","27.6","0.2","0.0","4.1"
"Jakob Johnson","NE","0.0","0.0","0.0","3.8","32.5","0.1","0.0","3.9"
"Kylin Hill","GB","6.1","25.2","0.2","0.0","0.0","0.0","0.0","3.7"
"Devine Ozigbo","JAC","3.8","16.3","0.1","0.0","0.0","0.0","0.0","2.3"
"Derek Watt","PIT","3.9","16.5","0.1","0.0","0.0","0.0","0.0","2.2"
""
""
