"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"481",16,"Jason Huntley",PHI,"RB123","14","23","3 out of 5 stars","-97"
"482",16,"Larry Fitzgerald",FA,"WR171","-","38","-","-"
"483",16,"Ashton Dulin",IND,"WR172","14","24","5 out of 5 stars","-"
"484",16,"Qadree Ollison",ATL,"RB124","6","24","2 out of 5 stars","-195"
"485",16,"Jakeem Grant Sr.",MIA,"WR173","14","28","3 out of 5 stars","-"
"486",16,"Dion Lewis",FA,"RB125","-","30","-","-"
"487",16,"Damonte Coxie",FA,"WR174","-","-","-","-"
"488",16,"KeeSean Johnson",ARI,"WR175","12","24","2 out of 5 stars","-"
"489",16,"Nick Foles",CHI,"QB55","10","32","2 out of 5 stars","-"
"490",16,"Darren Fells",DET,"TE71","9","35","4 out of 5 stars","-"
"491",16,"Jamie Newman",FA,"QB56","-","23","-","-"
"492",16,"John Wolford",LAR,"QB57","11","25","4 out of 5 stars","-"
"493",16,"Jacob Eason",IND,"QB58","14","23","4 out of 5 stars","-"
"494",16,"Jaeden Graham",ATL,"TE72","6","25","2 out of 5 stars","-"
"495",16,"Chad Henne",KC,"QB59","12","36","4 out of 5 stars","-"
"496",16,"Josh Adams",NYJ,"RB126","6","24","4 out of 5 stars","-121"
"497",16,"Zane Gonzalez",DET,"K33","9","26","5 out of 5 stars","-124"
"498",16,"Dare Ogunbowale",JAC,"RB127","7","27","4 out of 5 stars","-"
"499",16,"Equanimeous St. Brown",GB,"WR176","13","24","1 out of 5 stars","-"
"500",16,"Isaiah Ford",MIA,"WR177","14","25","3 out of 5 stars","-"
"501",16,"Stephen Anderson",LAC,"TE73","7","28","3 out of 5 stars","-"
"502",16,"Nick Mullens",PHI,"QB60","14","26","4 out of 5 stars","-"
"503",16,"DeAndre Washington",FA,"RB128","-","28","-","-"
"504",16,"Alshon Jeffery",FA,"WR178","-","31","-","-"
"505",16,"Aldrick Rosas",NO,"K34","6","26","4 out of 5 stars","-"
"506",16,"Devin Funchess",GB,"WR179","13","27","1 out of 5 stars","-"
"507",16,"Danny Amendola",FA,"WR180","-","35","-","-"
"508",16,"Alex Collins",SEA,"RB129","9","27","1 out of 5 stars","-"
"509",16,"Rodney Smith",CAR,"RB130","13","25","2 out of 5 stars","-"
"510",16,"Greg Joseph",MIN,"K35","7","27","0 out of 5 stars","-"
"511",16,"Bisi Johnson",MIN,"WR181","7","24","3 out of 5 stars","-"
"512",16,"Jeff Smith",NYJ,"WR182","6","24","4 out of 5 stars","-"
"513",16,"Hakeem Butler",PHI,"WR183","14","25","3 out of 5 stars","-"
"514",16,"Chad Beebe",MIN,"WR184","7","27","3 out of 5 stars","-"
"515",16,"Simi Fehoko",DAL,"WR185","7","23","1 out of 5 stars","-"
"516",16,"Jarrett Stidham",NE,"QB61","14","25","5 out of 5 stars","-"
