"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","AGE","SOS SEASON","ECR VS. ADP"
"205",11,"Preston Williams",MIA,"WR84","14","24","3 out of 5 stars","+78"
"206",11,"Tre'Quan Smith",NO,"WR85","6","25","4 out of 5 stars","-14"
"207",11,"Rob Gronkowski",TB,"TE28","9","32","3 out of 5 stars","-61"
"208",11,"Giovani Bernard",TB,"RB66","9","29","0 out of 5 stars","+1"
"209",11,"Anthony McFarland Jr.",PIT,"RB67","7","23","5 out of 5 stars","+54"
"210",11,"Baltimore Ravens",BAL,"DST1","8","-","2 out of 5 stars","-58"
"211",11,"Tylan Wallace",BAL,"WR86","8","22","2 out of 5 stars","+44"
"212",11,"Anthony Miller",HOU,"WR87","10","26","3 out of 5 stars","+64"
"213",11,"Tevin Coleman",NYJ,"RB68","6","28","4 out of 5 stars","-51"
"214",11,"N'Keal Harry",NE,"WR88","14","23","4 out of 5 stars","+22"
"215",11,"Benny Snell Jr.",PIT,"RB69","7","23","5 out of 5 stars","+57"
"216",11,"Dawson Knox",BUF,"TE29","7","24","2 out of 5 stars","+32"
"217",11,"Boston Scott",PHI,"RB70","14","26","3 out of 5 stars","+6"
"218",11,"Josh Reynolds",TEN,"WR89","13","26","3 out of 5 stars","+100"
"219",12,"Tutu Atwell",LAR,"WR90","11","21","5 out of 5 stars","-6"
"220",12,"Pittsburgh Steelers",PIT,"DST2","7","-","2 out of 5 stars","-16"
"221",12,"La'Mical Perine",NYJ,"RB71","6","23","4 out of 5 stars","+11"
"222",12,"Kylin Hill",GB,"RB72","13","23","0 out of 5 stars","-3"
"223",12,"Los Angeles Rams",LAR,"DST3","11","-","3 out of 5 stars","-78"
"224",12,"Justin Jackson",LAC,"RB73","7","25","4 out of 5 stars","+38"
"225",12,"James Washington",PIT,"WR91","7","25","2 out of 5 stars","+36"
"226",12,"New England Patriots",NE,"DST4","14","-","0 out of 5 stars","-19"
"227",12,"Josh Palmer",LAC,"WR92","7","21","3 out of 5 stars","-38"
"228",12,"Donovan Peoples-Jones",CLE,"WR93","13","22","1 out of 5 stars","+5"
"229",12,"Jared Cook",LAC,"TE30","7","34","3 out of 5 stars","-9"
"230",12,"New Orleans Saints",NO,"DST5","6","-","3 out of 5 stars","-8"
"231",12,"Jimmy Garoppolo",SF,"QB30","6","29","5 out of 5 stars","-"
"232",12,"Chicago Bears",CHI,"DST6","10","-","2 out of 5 stars","-55"
"233",12,"Denver Broncos",DEN,"DST7","11","-","2 out of 5 stars","-4"
"234",12,"Tim Patrick",DEN,"WR94","11","27","4 out of 5 stars","+62"
"235",12,"Taysom Hill",NO,"QB31","6","31","3 out of 5 stars","+36"
"236",12,"Drew Lock",DEN,"QB32","11","24","5 out of 5 stars","+102"
"237",12,"Harrison Bryant",CLE,"TE31","13","23","2 out of 5 stars","+85"
"238",12,"San Francisco 49ers",SF,"DST8","6","-","3 out of 5 stars","-24"
"239",12,"Justin Tucker",BAL,"K1","8","31","4 out of 5 stars","-88"
"240",12,"Greg Zuerlein",DAL,"K2","7","33","4 out of 5 stars","-32"
"241",12,"Los Angeles Chargers",LAC,"DST9","7","-","4 out of 5 stars","+11"
"242",12,"Chris Herndon IV",NYJ,"TE32","6","25","3 out of 5 stars","-"
"243",12,"Breshad Perriman",DET,"WR95","9","27","1 out of 5 stars","-6"
"244",12,"Minnesota Vikings",MIN,"DST10","7","-","3 out of 5 stars","+29"
"245",12,"Harrison Butker",KC,"K3","12","26","2 out of 5 stars","-95"
"246",12,"Wil Lutz",NO,"K4","6","27","4 out of 5 stars","-19"
"247",12,"Emmanuel Sanders",BUF,"WR96","7","34","3 out of 5 stars","-7"
"248",12,"Buffalo Bills",BUF,"DST11","7","-","3 out of 5 stars","-37"
"249",12,"Cam Newton",NE,"QB33","14","32","5 out of 5 stars","+99"
"250",12,"Brevin Jordan",HOU,"TE33","10","21","4 out of 5 stars","+30"
"251",12,"DeeJay Dallas",SEA,"RB74","9","22","1 out of 5 stars","-9"
"252",12,"Elijah Mitchell",SF,"RB75","6","23","3 out of 5 stars","-71"
"253",12,"David Njoku",CLE,"TE34","13","25","2 out of 5 stars","+77"
"254",12,"Todd Gurley II",FA,"RB76","-","27","-","-15"
"255",12,"Cleveland Browns",CLE,"DST12","13","-","3 out of 5 stars","-64"
"256",12,"Ben Roethlisberger",PIT,"QB34","7","39","4 out of 5 stars","+32"
"257",12,"Kansas City Chiefs",KC,"DST13","12","-","1 out of 5 stars","+102"
"258",12,"Washington Football Team",WAS,"DST14","9","-","2 out of 5 stars","-99"
"259",12,"Seattle Seahawks",SEA,"DST15","9","-","4 out of 5 stars","+68"
"260",12,"Tyler Johnson",TB,"WR97","9","23","2 out of 5 stars","+77"
"261",12,"Jermar Jefferson",DET,"RB77","9","21","0 out of 5 stars","-20"
"262",12,"Hunter Renfrow",LV,"WR98","8","25","1 out of 5 stars","+8"
"263",12,"Malcolm Brown",MIA,"RB78","14","28","4 out of 5 stars","-13"
"264",12,"Matt Prater",ARI,"K5","12","37","4 out of 5 stars","-36"
"265",12,"Matt Breida",BUF,"RB79","7","26","3 out of 5 stars","+43"
"266",12,"Teddy Bridgewater",DEN,"QB35","11","28","5 out of 5 stars","+80"
"267",12,"Philadelphia Eagles",PHI,"DST16","14","-","4 out of 5 stars","+25"
"268",12,"Indianapolis Colts",IND,"DST17","14","-","2 out of 5 stars","-19"
"269",12,"Robbie Gould",SF,"K6","6","38","4 out of 5 stars","-11"
"270",12,"Justice Hill",BAL,"RB80","8","23","4 out of 5 stars","+47"
"271",12,"A.J. Green",ARI,"WR99","12","33","2 out of 5 stars","-54"
"272",12,"Mason Crosby",GB,"K7","13","37","0 out of 5 stars","-46"
"273",13,"Devin Duvernay",BAL,"WR100","8","23","2 out of 5 stars","+82"
"274",13,"Keke Coutee",HOU,"WR101","10","24","3 out of 5 stars","+4"
"275",13,"Green Bay Packers",GB,"DST18","13","-","5 out of 5 stars","-"
"276",13,"Jake Elliott",PHI,"K8","14","26","4 out of 5 stars","-22"
"277",13,"Tennessee Titans",TEN,"DST19","13","-","3 out of 5 stars","+42"
"278",13,"Javian Hawkins",FA,"RB81","-","21","-","-80"
"279",13,"Darrel Williams",KC,"RB82","12","26","4 out of 5 stars","-54"
"280",13,"Albert Okwuegbunam",DEN,"TE35","11","23","4 out of 5 stars","+61"
"281",13,"Mark Ingram II",HOU,"RB83","10","31","4 out of 5 stars","+6"
"282",13,"Larry Rountree III",LAC,"RB84","7","22","4 out of 5 stars","-52"
"283",13,"Damien Williams",CHI,"RB85","10","29","3 out of 5 stars","-37"
"284",13,"Chris Evans",CIN,"RB86","10","23","3 out of 5 stars","-19"
"285",13,"Dallas Cowboys",DAL,"DST20","7","-","5 out of 5 stars","-"
"286",13,"Ty Johnson",NYJ,"RB87","6","23","4 out of 5 stars","-22"
"287",13,"Lynn Bowden Jr.",MIA,"WR102","14","23","3 out of 5 stars","-"
"288",13,"Jerick McKinnon",KC,"RB88","12","29","4 out of 5 stars","-41"
"289",13,"Eno Benjamin",ARI,"RB89","12","22","3 out of 5 stars","+21"
"290",13,"Le'Veon Bell",FA,"RB90","-","29","-","-52"
"291",13,"Ka'imi Fairbairn",HOU,"K9","10","27","3 out of 5 stars","-35"
"292",13,"Arizona Cardinals",ARI,"DST21","12","-","3 out of 5 stars","-"
"293",13,"Quintez Cephus",DET,"WR103","9","23","1 out of 5 stars","-24"
"294",13,"Tampa Bay Buccaneers",TB,"DST22","9","-","5 out of 5 stars","-99"
"295",13,"Stephen Gostkowski",FA,"K10","-","37","-","-29"
"296",13,"Keelan Cole Sr.",NYJ,"WR104","6","28","4 out of 5 stars","+27"
"297",13,"Jordan Love",GB,"QB36","13","22","2 out of 5 stars","-52"
"298",13,"Marquez Valdes-Scantling",GB,"WR105","13","26","1 out of 5 stars","-55"
"299",13,"Scotty Miller",TB,"WR106","9","24","2 out of 5 stars","+48"
"300",13,"Carlos Hyde",JAC,"RB91","7","30","4 out of 5 stars","+21"
"301",13,"Andy Isabella",ARI,"WR107","12","24","2 out of 5 stars","+59"
"302",13,"Hunter Long",MIA,"TE36","14","23","4 out of 5 stars","-12"
"303",13,"Dalton Schultz",DAL,"TE37","7","25","2 out of 5 stars","-10"
"304",13,"Khalil Herbert",CHI,"RB92","10","23","3 out of 5 stars","-30"
"305",13,"Brandon McManus",DEN,"K11","11","30","1 out of 5 stars","+1"
"306",13,"Randall Cobb",GB,"WR108","13","31","1 out of 5 stars","-62"
"307",13,"Kendrick Bourne",NE,"WR109","14","26","4 out of 5 stars","+50"
"308",13,"Cornell Powell",KC,"WR110","12","23","3 out of 5 stars","-3"
"309",13,"Duke Johnson Jr.",FA,"RB93","-","27","-","-15"
"310",13,"Atlanta Falcons",ATL,"DST23","6","-","5 out of 5 stars","-"
"311",13,"Graham Gano",NYG,"K12","10","34","2 out of 5 stars","-27"
"312",13,"Royce Freeman",DEN,"RB94","11","25","5 out of 5 stars","+19"
"313",13,"Dan Bailey",FA,"K13","-","33","-","+12"
"314",13,"Anthony Schwartz",CLE,"WR111","13","20","1 out of 5 stars","-13"
"315",13,"Donald Parham Jr.",LAC,"TE38","7","24","3 out of 5 stars","+9"
"316",13,"New York Giants",NYG,"DST24","10","-","4 out of 5 stars","-"
"317",13,"Carolina Panthers",CAR,"DST25","13","-","4 out of 5 stars","-"
"318",13,"Miles Boykin",BAL,"WR112","8","24","2 out of 5 stars","+52"
"319",13,"Mike Boone",DEN,"RB95","11","26","5 out of 5 stars","+21"
"320",13,"Dan Arnold",CAR,"TE39","13","26","4 out of 5 stars","-22"
"321",13,"Houston Texans",HOU,"DST26","10","-","2 out of 5 stars","+47"
"322",13,"Miami Dolphins",MIA,"DST27","14","-","2 out of 5 stars","-107"
"323",13,"Ryan Fitzpatrick",WAS,"QB37","9","38","4 out of 5 stars","-42"
"324",13,"Rashard Higgins",CLE,"WR113","13","26","1 out of 5 stars","+26"
"325",13,"Dez Fitzpatrick",TEN,"WR114","13","23","3 out of 5 stars","-40"
"326",13,"Jaelon Darden",TB,"WR115","9","22","2 out of 5 stars","-12"
"327",13,"Seth Williams",DEN,"WR116","11","21","4 out of 5 stars","+45"
"328",13,"Jacksonville Jaguars",JAC,"DST28","7","-","2 out of 5 stars","-26"
"329",13,"Marquez Callaway",NO,"WR117","6","23","4 out of 5 stars","-94"
"330",13,"Jaret Patterson",WAS,"RB96","9","21","3 out of 5 stars","-26"
"331",14,"Will Dissly",SEA,"TE40","9","25","1 out of 5 stars","-"
"332",14,"Brian Hill",TEN,"RB97","13","25","3 out of 5 stars","+19"
"333",14,"DeSean Jackson",LAR,"WR118","11","34","5 out of 5 stars","-"
"334",14,"Michael Badgley",LAC,"K14","7","26","2 out of 5 stars","0"
"335",14,"Ian Thomas",CAR,"TE41","13","25","4 out of 5 stars","-"
"336",14,"Tommy Tremble",CAR,"TE42","13","21","4 out of 5 stars","+6"
"337",14,"New York Jets",NYJ,"DST29","6","-","4 out of 5 stars","-"
"338",14,"Mo Alie-Cox",IND,"TE43","14","27","4 out of 5 stars","-18"
"339",14,"Daniel Carlson",LV,"K15","8","26","2 out of 5 stars","-26"
"340",14,"Travis Fulgham",PHI,"WR119","14","25","3 out of 5 stars","-45"
"341",14,"Chris Boswell",PIT,"K16","7","30","2 out of 5 stars","+28"
"342",14,"Marquez Stevenson",BUF,"WR120","7","23","3 out of 5 stars","+20"
"343",14,"Jimmy Graham",CHI,"TE44","10","34","1 out of 5 stars","-27"
"344",14,"Trayveon Williams",CIN,"RB98","10","23","3 out of 5 stars","+10"
"345",14,"Jack Doyle",IND,"TE45","14","31","4 out of 5 stars","+20"
"346",14,"Kyle Rudolph",NYG,"TE46","10","31","3 out of 5 stars","-"
"347",14,"Ito Smith",MIN,"RB99","7","25","3 out of 5 stars","-15"
"348",14,"Drew Sample",CIN,"TE47","10","25","2 out of 5 stars","-"
"349",14,"Kyle Trask",TB,"QB38","9","23","2 out of 5 stars","-50"
"350",14,"Rodrigo Blankenship",IND,"K17","14","24","3 out of 5 stars","-93"
"351",14,"Jordan Akins",HOU,"TE48","10","29","4 out of 5 stars","-"
"352",14,"Jason Myers",SEA,"K18","9","30","4 out of 5 stars","-41"
"353",14,"Tre' McKitty",LAC,"TE49","7","22","3 out of 5 stars","-"
"354",14,"Devontae Booker",NYG,"RB100","10","29","2 out of 5 stars","-57"
"355",14,"Demarcus Robinson",KC,"WR121","12","26","3 out of 5 stars","-12"
"356",14,"Cincinnati Bengals",CIN,"DST30","10","-","3 out of 5 stars","-"
"357",14,"Kalen Ballage",PIT,"RB101","7","25","5 out of 5 stars","-5"
"358",14,"Jace Sternberger",GB,"TE50","13","25","3 out of 5 stars","-"
"359",14,"Collin Johnson",JAC,"WR122","7","23","5 out of 5 stars","+20"
"360",14,"Devin Asiasi",NE,"TE51","14","24","5 out of 5 stars","-"
"361",14,"Tyrell Williams",DET,"WR123","9","29","1 out of 5 stars","-94"
"362",14,"John Ross",NYG,"WR124","10","25","3 out of 5 stars","-"
"363",14,"Ryan Succop",TB,"K19","9","34","2 out of 5 stars","-84"
"364",14,"Mitchell Trubisky",BUF,"QB39","7","27","1 out of 5 stars","-"
"365",14,"Jordan Howard",PHI,"RB102","14","26","3 out of 5 stars","-37"
"366",14,"Andy Dalton",CHI,"QB40","10","33","2 out of 5 stars","-"
"367",14,"Sage Surratt",DET,"WR125","9","23","1 out of 5 stars","+10"
"368",14,"Shi Smith",CAR,"WR126","13","22","5 out of 5 stars","+6"
"369",14,"Jacob Harris",LAR,"TE52","11","24","2 out of 5 stars","-69"
"370",14,"Jalen Guyton",LAC,"WR127","7","24","3 out of 5 stars","-"
"371",14,"Auden Tate",CIN,"WR128","10","24","2 out of 5 stars","-"
"372",14,"Zach Pascal",IND,"WR129","14","26","5 out of 5 stars","-69"
"373",14,"Davis Mills",HOU,"QB41","10","22","4 out of 5 stars","-"
"374",14,"Samaje Perine",CIN,"RB103","10","25","3 out of 5 stars","-92"
"375",14,"Younghoe Koo",ATL,"K20","6","27","3 out of 5 stars","-141"
"376",14,"Foster Moreau",LV,"TE53","8","24","4 out of 5 stars","-"
"377",14,"Gardner Minshew II",JAC,"QB42","7","25","4 out of 5 stars","-"
"378",14,"Detroit Lions",DET,"DST31","9","-","5 out of 5 stars","-"
"379",14,"Kellen Mond",MIN,"QB43","7","22","3 out of 5 stars","-44"
"380",14,"Demetric Felton",CLE,"WR130","13","23","1 out of 5 stars","-"
"381",14,"Cameron Brate",TB,"TE54","9","30","3 out of 5 stars","-"
"382",15,"Josh Oliver",BAL,"TE55","8","24","4 out of 5 stars","-"
"383",15,"Marcus Mariota",LV,"QB44","8","27","3 out of 5 stars","-"
"384",15,"Jacob Hollister",BUF,"TE56","7","27","2 out of 5 stars","-"
"385",15,"Kylen Granson",IND,"TE57","14","23","4 out of 5 stars","-78"
"386",15,"Dede Westbrook",MIN,"WR131","7","27","3 out of 5 stars","-"
"387",15,"Devonta Freeman",NO,"RB104","6","29","2 out of 5 stars","-34"
"388",15,"David Moore",CAR,"WR132","13","26","5 out of 5 stars","-"
"389",15,"Tyler Eifert",FA,"TE58","-","30","-","-"
"390",15,"Cordarrelle Patterson",ATL,"WR133","6","30","4 out of 5 stars","-"
"391",15,"Darwin Thompson",KC,"RB105","12","24","4 out of 5 stars","-30"
"392",15,"C.J. Uzomah",CIN,"TE59","10","28","2 out of 5 stars","-10"
"393",15,"Jalen Hurd",SF,"WR134","6","25","5 out of 5 stars","-22"
"394",15,"Josh Lambo",JAC,"K21","7","30","5 out of 5 stars","-"
"395",15,"Brett Maher",NO,"K22","6","31","4 out of 5 stars","-"
"396",15,"Richie James Jr.",SF,"WR135","6","25","5 out of 5 stars","-"
"397",15,"Jason Sanders",MIA,"K23","14","25","4 out of 5 stars","-120"
"398",15,"Kelvin Harmon",WAS,"WR136","9","24","3 out of 5 stars","-"
"399",15,"Bryce Love",FA,"RB106","-","24","-","-36"
"400",15,"Trey Burton",FA,"TE60","-","29","-","-"
"401",15,"Tyler Conklin",MIN,"TE61","7","26","2 out of 5 stars","-"
