"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","289.2","1,215.0","11.7","97.8","816.2","4.2","2.5","293.9"
"Dalvin Cook","MIN","309.9","1,454.4","13.4","56.0","487.5","1.3","2.9","276.7"
"Derrick Henry","TEN","352.4","1,686.4","13.3","25.3","194.4","1.0","2.7","268.3"
"Nick Chubb","CLE","281.0","1,440.1","10.7","28.5","243.5","0.7","1.9","232.7"
"Saquon Barkley","NYG","287.5","1,251.8","9.5","57.8","441.6","1.6","1.9","232.5"
"Alvin Kamara","NO","210.1","948.7","8.8","82.4","685.3","3.3","1.9","231.9"
"Aaron Jones","GB","229.8","1,126.4","9.9","55.8","437.7","2.9","2.1","228.8"
"Ezekiel Elliott","DAL","294.5","1,204.9","10.1","48.7","350.5","2.0","3.0","222.0"
"Austin Ekeler","LAC","191.3","857.0","4.6","88.1","792.2","5.4","2.1","220.6"
"Cam Akers","LAR","273.7","1,240.1","8.9","32.9","331.0","1.9","2.0","217.8"
"Jonathan Taylor","IND","272.4","1,218.7","10.4","35.6","276.4","1.3","1.9","215.8"
"Joe Mixon","CIN","259.5","1,042.3","7.7","46.8","349.1","3.3","2.0","201.3"
"J.K. Dobbins","BAL","210.3","1,099.1","10.1","29.9","232.9","0.7","1.6","194.7"
"D'Andre Swift","DET","201.5","852.5","8.7","66.3","495.1","2.0","2.4","194.0"
"Miles Sanders","PHI","225.1","1,107.0","6.3","45.0","388.1","1.7","2.3","193.2"
"Josh Jacobs","LV","253.4","1,052.8","9.5","31.9","246.9","0.5","2.0","186.5"
"Najee Harris","PIT","227.6","941.1","7.9","51.5","385.7","1.9","2.5","186.0"
"Chris Carson","SEA","221.3","1,010.4","7.0","42.4","310.0","2.4","2.1","184.7"
"Antonio Gibson","WAS","224.6","999.0","9.3","39.4","279.2","0.6","2.1","183.2"
"David Montgomery","CHI","233.3","953.8","7.9","37.7","308.4","1.7","1.9","179.5"
"Clyde Edwards-Helaire","KC","208.2","940.1","7.0","47.0","371.9","1.6","1.7","179.4"
"Mike Davis","ATL","214.0","775.1","6.6","51.5","334.8","2.0","1.9","158.8"
"Leonard Fournette","TB","189.4","753.8","7.5","47.9","342.7","1.2","1.7","158.2"
"Myles Gaskin","MIA","193.1","800.2","4.9","49.5","397.9","2.0","1.6","158.0"
"David Johnson","HOU","164.2","689.7","4.8","43.3","421.1","3.4","1.6","157.3"
"James Conner","ARI","178.0","834.7","7.5","30.6","219.3","1.0","1.5","153.5"
"Melvin Gordon III","DEN","210.4","922.2","6.8","31.3","190.4","1.1","3.0","152.3"
"Kareem Hunt","CLE","152.9","679.9","6.4","37.4","315.6","2.8","1.3","152.1"
"Chase Edmonds","ARI","149.4","675.9","3.9","52.9","406.0","3.8","1.5","151.6"
"Travis Etienne","JAC","154.9","702.2","4.8","53.9","440.1","1.9","1.9","150.6"
"Raheem Mostert","SF","162.9","820.9","6.3","24.5","227.6","1.6","1.4","149.3"
"Ronald Jones II","TB","181.1","816.8","6.2","19.5","147.2","0.3","1.4","133.1"
"Damien Harris","NE","194.7","975.2","4.8","9.4","78.9","0.3","1.4","133.1"
"James Robinson","JAC","158.8","702.2","5.4","32.3","234.4","1.2","1.4","130.4"
"Michael Carter","NYJ","173.2","722.0","4.9","31.4","258.7","1.0","1.9","129.4"
