"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Javonte Williams","DEN","187.3","817.7","4.6","22.1","171.7","0.9","1.9","128.1"
"Kenyan Drake","LV","134.1","552.4","5.1","43.5","314.6","0.9","1.4","119.9"
"Trey Sermon","SF","141.5","626.6","5.5","17.7","154.5","0.9","1.8","112.9"
"Gus Edwards","BAL","149.8","739.1","4.2","9.5","92.7","0.2","1.3","107.3"
"Latavius Murray","NO","146.5","602.6","3.4","27.7","201.5","1.0","1.2","104.3"
"Devin Singletary","BUF","126.8","565.8","2.7","36.8","268.4","1.2","1.3","104.3"
"Zack Moss","BUF","137.9","573.3","5.0","18.7","142.1","0.7","1.2","103.3"
"AJ Dillon","GB","148.0","661.3","4.5","11.8","93.7","0.5","1.4","102.6"
"Jamaal Williams","DET","126.9","494.2","2.8","37.6","261.3","1.5","1.2","98.9"
"J.D. McKissic","WAS","77.4","351.9","2.0","55.6","408.8","1.6","0.8","95.5"
"James White","NE","58.2","243.7","2.3","53.1","442.7","2.4","1.2","94.3"
"Tarik Cohen","CHI","77.5","310.4","1.6","60.1","413.0","2.4","1.3","94.1"
"Alexander Mattison","MIN","125.4","567.2","2.8","15.8","137.5","0.8","0.7","91.0"
"Tony Pollard","DAL","106.1","470.9","3.5","24.5","176.3","1.1","1.2","90.0"
"Darrell Henderson","LAR","113.0","487.6","4.4","12.1","104.2","0.8","0.6","89.1"
"Sony Michel","NE","121.0","541.1","3.6","10.8","100.9","0.7","0.7","88.8"
"Phillip Lindsay","HOU","110.4","499.5","2.5","27.8","180.3","0.4","1.1","83.4"
"Darrel Williams","KC","93.7","392.7","4.5","19.6","150.8","0.5","0.6","83.2"
"Jeff Wilson Jr.","SF","82.1","354.4","4.6","12.9","117.0","1.6","0.7","82.7"
"Rashaad Penny","SEA","91.4","450.0","3.4","13.8","119.5","0.9","0.7","81.5"
"Damien Williams","CHI","83.3","340.8","4.1","22.0","149.4","1.4","1.1","79.7"
"Tevin Coleman","NYJ","125.7","468.6","3.4","12.8","104.2","0.4","0.7","78.5"
"Nyheim Hines","IND","54.3","231.6","1.5","45.5","345.8","2.1","0.7","78.5"
"Salvon Ahmed","MIA","98.9","389.6","3.3","15.5","113.6","0.4","0.7","71.5"
"Justin Jackson","LAC","87.3","405.7","2.2","20.8","147.1","0.4","0.6","69.1"
"Darrynton Evans","TEN","69.8","304.3","2.6","16.0","148.9","1.4","0.7","68.2"
"DeeJay Dallas","SEA","70.0","278.0","2.4","22.8","170.2","1.3","0.6","66.0"
"Cordarrelle Patterson","ATL","67.5","307.5","2.2","17.3","155.6","0.8","0.2","64.1"
"Marlon Mack","IND","99.0","406.6","3.1","9.5","65.0","0.1","1.1","64.0"
"La'Mical Perine","NYJ","86.5","344.1","3.1","15.2","108.7","0.1","0.6","63.3"
"Chuba Hubbard","CAR","71.9","294.5","2.3","14.9","125.7","0.7","1.1","57.7"
"Malcolm Brown","MIA","75.3","288.5","3.1","14.8","102.0","0.2","0.6","57.3"
"Joshua Kelley","LAC","101.1","361.2","2.6","8.9","63.9","0.3","1.2","57.2"
"Trayveon Williams","CIN","64.1","274.7","1.9","20.2","163.0","0.7","1.6","55.9"
"Kyle Juszczyk","SF","13.9","53.4","0.8","25.7","266.8","3.1","0.2","54.8"
"Mark Ingram II","HOU","57.5","228.5","2.1","14.1","132.5","1.1","0.6","54.4"
"Benny Snell Jr.","PIT","84.1","309.7","3.0","7.7","52.0","0.2","0.7","53.9"
"Brian Hill","TEN","68.5","371.7","1.7","8.0","67.0","0.0","0.5","52.9"
"Devontae Booker","NYG","74.3","324.7","1.8","12.5","79.4","0.2","0.7","51.0"
"Qadree Ollison","ATL","63.5","243.3","3.6","3.9","30.6","0.1","0.2","49.4"
"Brandon Bolden","NE","22.0","124.0","4.0","5.0","62.0","1.0","0.0","48.6"
"Chris Thompson","JAC","49.0","180.0","0.0","32.0","263.0","1.0","1.0","48.3"
"Wayne Gallman","SF","48.2","215.6","2.8","9.5","73.8","0.5","0.5","47.9"
"Rhamondre Stevenson","NE","55.7","253.6","2.3","8.4","73.1","0.6","1.0","47.5"
"Matt Breida","BUF","60.1","264.1","1.2","14.4","115.1","0.6","1.1","46.7"
"Kenneth Gainwell","PHI","45.5","212.4","1.3","14.1","120.7","0.8","0.6","44.8"
"Boston Scott","PHI","35.9","158.9","1.3","17.1","143.6","0.6","0.6","40.9"
"Giovani Bernard","TB","28.5","111.5","0.7","24.6","184.8","1.0","0.2","39.7"
"Kerryon Johnson","PHI","49.9","207.7","1.7","8.3","70.7","0.3","0.3","39.4"
"Samaje Perine","CIN","36.9","161.4","1.6","12.6","93.3","0.4","0.1","36.9"
"Peyton Barber","WAS","61.7","202.6","2.3","5.3","34.2","0.1","0.6","36.8"
"Mike Boone","DEN","48.5","240.9","1.5","3.2","20.1","0.1","0.6","34.2"
"Javian Hawkins","ATL","45.0","182.3","1.3","4.3","32.1","0.2","0.2","30.0"
"Johnny Stanton","CLE","20.0","100.0","1.0","9.0","71.0","1.0","0.0","29.1"
"Jerick McKinnon","KC","21.1","86.9","0.8","14.6","116.0","0.6","0.1","28.6"
"D'Ernest Johnson","CLE","32.5","144.2","1.1","6.0","49.8","0.3","0.2","27.2"
"Josh Adams","NYJ","28.0","136.0","2.0","1.0","5.0","0.0","0.0","26.1"
"Anthony McFarland Jr.","PIT","44.0","166.4","0.9","5.1","42.3","0.1","0.6","25.9"
"Ameer Abdullah","MIN","23.9","111.3","0.3","10.6","78.3","0.8","0.1","25.4"
"Travis Homer","SEA","30.1","127.1","1.0","6.4","49.1","0.3","0.2","25.0"
"Xavier Jones","LAR","25.0","104.1","1.3","6.9","55.5","0.2","0.1","25.0"
"Dontrell Hilliard","HOU","23.0","83.0","2.0","9.0","67.0","0.0","1.0","25.0"
"Jordan Howard","PHI","29.0","125.0","2.0","0.0","3.0","0.0","0.0","24.8"
"Eno Benjamin","ARI","32.3","142.6","1.1","4.2","36.0","0.1","0.1","24.7"
"JaMycal Hasty","SF","33.0","171.0","1.0","2.0","12.0","0.0","0.0","24.3"
"Jeremy McNichols","TEN","31.5","135.9","0.9","6.5","41.6","0.2","0.1","24.3"
"D'Onta Foreman","TEN","38.0","172.0","1.0","1.0","7.0","0.0","0.0","23.9"
"Carlos Hyde","JAC","30.3","124.9","1.0","4.4","34.0","0.1","0.2","22.2"
"Jermar Jefferson","DET","26.8","111.4","0.7","6.9","52.0","0.2","0.1","21.6"
"Lamar Miller","WAS","21.9","91.7","1.2","4.3","35.1","0.1","0.0","20.3"
"Jaylen Samuels","PIT","18.8","78.3","0.5","10.8","74.2","0.4","0.1","20.2"
"Justice Hill","BAL","19.3","83.0","0.6","7.2","56.4","0.4","0.1","19.7"
"Jalen Richard","LV","17.4","77.5","0.4","9.2","79.8","0.3","0.1","19.6"
"Ty Montgomery","NO","12.7","53.6","0.3","10.4","89.3","0.5","0.1","19.1"
"Dexter Williams","GB","16.1","68.7","0.5","8.8","67.3","0.4","0.1","18.6"
"Elijah Mitchell","SF","19.6","90.2","0.6","4.0","43.0","0.0","0.0","17.0"
"Ty Johnson","NYJ","20.9","91.7","0.6","4.2","31.1","0.1","0.1","16.7"
"Reggie Bonnafon","CAR","18.2","95.9","0.6","2.7","22.1","0.1","0.0","15.9"
"Jordan Wilkins","IND","19.3","96.9","0.6","1.5","11.8","0.0","0.0","14.5"
"Patrick Ricard","BAL","1.0","-3.0","0.0","12.1","80.4","1.1","0.5","13.4"
"Rico Dowdle","DAL","13.6","57.5","0.5","4.7","37.3","0.2","0.1","13.2"
"Alec Ingold","LV","4.4","18.3","0.1","8.7","78.8","0.4","0.1","12.5"
"C.J. Ham","MIN","4.8","20.0","0.2","8.0","70.2","0.4","0.1","12.0"
"Theo Riddick","LV","13.1","54.0","0.4","4.5","33.7","0.2","0.1","11.7"
"Buddy Howell","HOU","14.9","63.4","0.4","2.3","17.8","0.1","0.1","10.9"
"Gary Brightwell","NYG","12.4","51.2","0.5","2.1","15.7","0.1","0.1","10.1"
"Chris Evans","CIN","7.8","32.5","0.3","4.5","34.3","0.2","0.1","9.0"
"Raymond Calais","LAR","8.3","34.7","0.4","2.3","18.5","0.1","0.0","8.4"
"Demetric Felton","CLE","9.3","39.4","0.4","1.9","15.3","0.1","0.0","8.1"
"Alex Collins","SEA","8.6","36.0","0.4","2.0","15.4","0.1","0.1","7.7"
"Ke'Shawn Vaughn","TB","8.1","34.4","0.2","2.4","18.7","0.1","0.0","7.3"
"Alex Armah","NO","4.2","17.6","0.1","4.1","38.0","0.2","0.1","7.2"
"Dwayne Washington","NO","8.5","36.1","0.2","2.1","17.6","0.1","0.0","7.2"
"Keith Smith","ATL","4.5","18.8","0.2","4.4","36.5","0.1","0.1","7.1"
"J.J. Taylor","NE","4.7","20.1","0.2","4.0","31.2","0.1","0.0","7.0"
"Royce Freeman","DEN","9.2","38.0","0.2","2.2","15.3","0.1","0.0","6.9"
"Patrick Laird","MIA","4.0","16.8","0.1","4.6","35.6","0.2","0.0","6.8"
"Khalil Herbert","CHI","8.0","33.5","0.2","2.1","16.6","0.1","0.0","6.7"
"Gabe Nabers","LAC","2.0","8.8","0.1","4.7","39.3","0.2","0.1","6.5"
"Michael Burton","KC","3.5","15.0","0.1","2.4","21.1","0.1","0.0","5.1"
"Darwin Thompson","KC","3.5","14.7","0.1","2.5","18.9","0.1","0.0","4.8"
"Elijhaa Penny","NYG","4.1","17.0","0.2","2.1","17.3","0.1","0.0","4.8"
"Kylin Hill","GB","6.0","25.2","0.2","0.0","0.0","0.0","0.0","0.0"
"Andy Janovich","CLE","0.0","0.0","0.0","3.9","36.4","0.2","0.0","0.0"
"Derek Watt","PIT","3.8","16.0","0.1","0.0","0.0","0.0","0.0","0.0"
"Devine Ozigbo","JAC","3.8","16.3","0.1","0.0","0.0","0.0","0.0","0.0"
"Larry Rountree III","LAC","12.2","51.4","0.5","0.0","0.0","0.0","0.1","0.0"
"Jakob Johnson","NE","0.0","0.0","0.0","3.9","34.4","0.1","0.0","0.0"
"Khari Blasingame","TEN","0.0","0.0","0.0","3.9","35.9","0.2","0.0","0.0"
"Ben Mason","BAL","0.0","0.0","0.0","3.5","27.7","0.2","0.0","0.0"
"Antonio Williams","BUF","7.2","30.8","0.2","0.0","0.0","0.0","0.0","0.0"
""
""
