"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","605.2","400.0","4,566.2","33.7","13.3","110.8","519.6","7.6","5.1","378.5"
"Patrick Mahomes II","KC","630.6","419.0","5,028.2","38.5","9.1","55.3","267.2","2.9","2.5","376.4"
"Kyler Murray","ARI","588.5","389.7","4,198.3","26.7","12.9","125.8","698.8","7.7","3.7","357.8"
"Lamar Jackson","BAL","462.2","296.4","3,378.6","28.6","12.2","152.8","920.0","6.7","4.0","349.1"
"Dak Prescott","DAL","623.2","416.3","4,847.8","31.0","11.1","63.4","296.5","4.0","4.2","341.2"
"Aaron Rodgers","GB","571.7","385.6","4,448.3","37.1","7.2","41.0","174.1","1.9","3.1","334.7"
"Russell Wilson","SEA","569.9","380.1","4,242.9","34.4","12.3","82.8","447.2","2.1","3.5","332.9"
"Justin Herbert","LAC","616.1","400.0","4,581.7","30.5","12.0","61.2","272.9","4.4","2.6","329.5"
"Tom Brady","TB","621.2","404.4","4,694.6","37.0","11.9","24.5","31.7","2.1","2.2","323.5"
"Ryan Tannehill","TEN","527.7","348.9","4,121.3","30.5","10.5","51.8","229.5","3.5","2.9","303.8"
"Jalen Hurts","PHI","536.5","328.0","3,703.2","22.5","14.4","133.9","691.4","5.7","4.8","303.7"
"Joe Burrow","CIN","610.3","398.7","4,299.8","26.4","11.7","54.3","228.4","3.0","4.2","286.7"
"Matthew Stafford","LAR","613.0","405.9","4,570.2","28.7","11.5","33.3","126.4","0.7","3.2","285.1"
"Kirk Cousins","MIN","541.6","364.1","4,272.3","30.1","13.0","35.4","114.4","1.1","4.1","274.9"
"Trevor Lawrence","JAC","589.5","377.0","4,124.1","24.7","13.5","66.9","341.7","2.3","5.2","274.8"
"Matt Ryan","ATL","613.7","400.9","4,508.6","26.8","13.0","32.7","117.4","1.4","4.3","272.9"
"Baker Mayfield","CLE","536.8","342.7","3,944.0","27.9","11.4","44.1","168.1","1.8","3.3","267.5"
"Derek Carr","LV","564.9","374.4","4,309.4","26.4","10.9","30.4","106.9","1.8","5.2","266.8"
"Tua Tagovailoa","MIA","574.1","373.8","3,942.3","25.7","13.5","54.3","205.7","2.7","1.7","266.6"
"Ryan Fitzpatrick","WAS","575.6","380.5","4,066.7","23.4","16.6","50.8","245.1","3.0","2.3","261.2"
"Ben Roethlisberger","PIT","617.5","400.4","4,173.5","29.5","14.0","20.9","45.0","0.5","2.2","260.2"
"Daniel Jones","NYG","546.8","342.3","3,748.0","22.4","13.6","70.3","403.2","2.6","8.5","251.3"
"Sam Darnold","CAR","556.1","350.6","3,920.5","22.0","15.0","50.3","219.8","3.3","3.9","248.7"
"Zach Wilson","NYJ","547.6","342.4","3,845.6","20.8","15.7","65.5","310.7","2.3","5.5","239.3"
"Trey Lance","SF","423.3","275.4","3,191.8","20.7","11.0","74.5","372.5","3.2","4.0","236.9"
"Jared Goff","DET","579.6","371.3","4,158.0","22.5","14.9","39.9","89.3","1.7","4.2","236.9"
"Justin Fields","CHI","467.6","298.6","3,200.8","20.1","11.2","69.7","347.9","2.8","5.0","227.7"
"Carson Wentz","IND","468.5","293.0","3,213.9","21.4","11.4","53.8","235.0","2.6","5.7","218.9"
"Deshaun Watson","HOU","333.9","227.9","2,721.8","16.0","7.4","48.2","228.1","2.5","2.0","192.1"
"Cam Newton","NE","303.6","198.4","2,188.0","12.7","9.6","81.7","354.2","5.7","1.8","184.9"
"Jameis Winston","NO","383.0","248.0","2,790.2","18.8","12.7","38.1","160.8","0.9","3.9","175.6"
"Drew Lock","DEN","319.7","188.0","2,154.4","13.5","9.9","34.7","136.7","1.3","2.9","135.8"
"Taysom Hill","NO","183.4","122.4","1,282.4","7.6","4.9","75.6","395.5","4.5","3.4","131.9"
"Tyrod Taylor","HOU","281.3","172.7","1,959.6","10.3","5.3","30.0","141.7","1.2","1.1","128.4"
"Teddy Bridgewater","DEN","235.2","153.0","1,727.6","10.3","6.8","24.9","108.7","1.5","0.7","114.7"
"Mac Jones","NE","217.8","136.5","1,536.0","8.9","6.2","18.6","68.8","0.9","1.2","94.2"
"Davis Mills","HOU","191.2","119.0","1,368.1","6.8","5.1","13.0","55.3","0.6","1.4","78.4"
"Jimmy Garoppolo","SF","156.3","106.7","1,239.2","7.4","4.1","11.4","24.9","0.4","1.2","73.5"
"Andy Dalton","CHI","134.2","84.6","924.6","5.3","3.2","9.5","30.3","0.1","0.8","53.8"
