"Player","Team","REC","YDS","TDS","FL","FPTS"
"Jacob Harris","LAR","8.0","110.0","0.6","0.0","14.8"
"Stephen Anderson","LAC","8.5","105.9","0.6","0.0","14.4"
"Jaeden Graham","ATL","7.5","106.8","0.6","0.0","14.1"
"Tommy Tremble","CAR","11.4","111.6","0.6","0.5","13.7"
"Charlie Woerner","SF","7.8","89.2","0.7","0.0","12.8"
"Colby Parkinson","SEA","7.4","78.3","0.8","0.1","12.6"
"Deon Yelder","WAS","9.0","84.1","0.7","0.0","12.4"
"Luke Farrell","JAC","10.5","98.2","0.6","0.5","12.2"
"Tre' McKitty","LAC","7.5","80.5","0.6","0.0","11.4"
"John Bates","WAS","9.5","89.3","0.6","0.5","11.3"
"Noah Togiai","IND","7.1","77.7","0.6","0.1","11.2"
"Cethan Carter","MIA","8.0","82.6","0.5","0.1","11.1"
"Temarrick Hemingway","WAS","6.0","68.1","0.5","0.0","9.5"
"Ben Ellefson","JAC","6.0","67.9","0.4","0.0","9.0"
"Josh Oliver","BAL","4.8","50.9","0.5","0.0","7.8"
"Zach Gentry","PIT","4.6","49.0","0.4","0.0","7.2"
"Nick Keizer","KC","4.3","47.1","0.4","0.0","7.0"
"Jeremy Sprinkle","DAL","4.2","42.8","0.4","0.0","6.6"
"Garrett Griffin","NO","3.7","42.9","0.3","0.0","6.3"
"Mason Schreck","CIN","4.1","43.2","0.3","0.0","6.2"
"Johnny Mundt","LAR","4.2","45.6","0.3","0.0","6.1"
"Jared Pinkney","TEN","3.5","37.1","0.4","0.0","6.0"
"Brandon Dillon","MIN","3.6","39.5","0.3","0.0","5.9"
"Jason Croom","PHI","3.6","41.3","0.3","0.0","5.6"
"Eric Saubert","DEN","3.8","37.9","0.3","0.0","5.4"
"Alize Mack","DET","4.0","39.5","0.2","0.0","5.2"
"Kaden Smith","NYG","4.1","35.6","0.3","0.0","5.1"
"Caleb Wilson","PHI","3.5","37.1","0.2","0.0","5.0"
"Kylen Granson","IND","3.4","35.1","0.3","0.0","5.0"
"Tanner Hudson","TB","2.1","23.2","0.2","0.0","3.6"
"Trevon Wesco","NYJ","1.9","19.9","0.1","0.0","2.7"
"Eric Tomlinson","BAL","1.6","16.6","0.2","0.0","2.5"
""
""
