"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Mark Ingram II","HOU","61.7","252.2","1.9","13.4","110.4","0.7","0.7","50.9"
"Marlon Mack","IND","68.6","294.4","2.4","8.7","62.1","0.2","0.6","49.8"
"Chuba Hubbard","CAR","61.8","261.2","2.0","10.6","85.8","0.4","1.1","46.7"
"Wayne Gallman","SF","53.4","235.4","2.3","9.6","74.1","0.4","0.7","46.1"
"Cordarrelle Patterson","ATL","45.1","205.9","1.3","15.0","131.8","0.7","0.2","45.4"
"Salvon Ahmed","MIA","63.3","265.3","1.7","10.0","66.1","0.3","0.3","44.9"
"Xavier Jones","LAR","55.0","226.4","2.2","10.7","85.7","0.4","1.1","44.6"
"DeeJay Dallas","SEA","47.3","188.8","1.5","16.6","122.6","0.9","0.6","44.5"
"Kyle Juszczyk","SF","13.5","51.2","0.7","21.8","230.3","2.0","0.7","42.7"
"Rex Burkhead","HOU","33.2","140.2","1.3","15.3","145.7","1.2","0.6","42.3"
"Trayveon Williams","CIN","48.0","205.3","1.3","14.1","113.1","0.5","1.5","39.6"
"Kenneth Gainwell","PHI","48.1","219.7","1.5","10.9","85.5","0.4","1.1","39.6"
"Samaje Perine","CIN","50.8","214.8","1.5","9.1","61.7","0.2","0.1","37.5"
"Mike Boone","DEN","47.6","226.3","1.6","6.5","43.9","0.1","0.6","36.0"
"Benny Snell Jr.","PIT","59.0","218.5","1.7","6.1","41.7","0.1","0.6","35.9"
"Peyton Barber","WAS","57.1","201.9","2.2","5.0","33.1","0.1","0.6","35.8"
"Brandon Bolden","NE","25.2","123.9","2.5","4.3","43.9","0.6","0.0","35.3"
"Matt Breida","BUF","45.1","198.9","1.0","10.5","83.4","0.5","1.1","35.0"
"Jeff Wilson Jr.","SF","39.5","170.0","2.0","2.5","26.5","0.5","1.0","32.7"
"Johnny Stanton","CLE","20.0","100.0","1.0","9.0","70.0","1.0","0.0","29.0"
"Tony Jones Jr.","NO","49.6","158.5","1.0","7.6","57.7","0.2","0.2","28.5"
"Larry Rountree III","LAC","36.8","154.8","1.4","4.6","34.9","0.2","0.2","28.1"
"J.J. Taylor","NE","32.7","140.8","1.2","5.8","42.9","0.2","0.2","26.2"
"Jalen Richard","LV","23.7","103.7","0.5","13.1","104.4","0.4","0.6","25.0"
"Jermar Jefferson","DET","27.9","113.8","0.8","10.6","78.7","0.1","0.1","24.6"
"Brian Hill","TEN","32.8","158.1","0.7","4.5","32.3","0.2","0.2","24.3"
"Elijah Mitchell","SF","26.8","124.1","0.8","5.7","51.5","0.2","0.1","23.2"
"Rico Dowdle","DAL","33.0","136.0","1.0","4.0","34.0","0.0","0.0","23.0"
"Jaylen Samuels","PIT","26.5","111.0","0.6","7.6","50.8","0.3","0.1","21.7"
"Anthony McFarland Jr.","PIT","30.3","116.2","0.5","5.6","44.2","0.1","0.6","18.7"
"Jerick McKinnon","KC","21.5","95.1","0.4","6.8","48.2","0.2","0.1","18.1"
"Devonta Freeman","NO","16.0","65.1","0.5","7.6","60.9","0.4","0.0","18.0"
"La'Mical Perine","NYJ","26.2","110.6","0.8","2.5","19.0","0.1","0.2","17.6"
"Jaret Patterson","WAS","25.1","104.3","0.8","2.2","18.1","0.1","0.1","17.6"
"Chris Evans","CIN","24.4","96.9","0.4","4.4","32.8","0.2","0.1","16.2"
"Justice Hill","BAL","19.1","87.8","0.6","4.3","30.9","0.1","0.1","16.0"
"Demetric Felton","CLE","18.5","89.6","0.7","2.5","21.0","0.0","0.0","15.4"
"Kylin Hill","GB","25.1","101.9","0.3","3.7","27.8","0.1","0.1","15.1"
"Gerrid Doaks","MIA","16.3","68.0","0.6","4.4","32.7","0.1","0.1","14.1"
"Ameer Abdullah","MIN","15.4","68.7","0.1","6.0","42.0","0.3","0.0","13.5"
"Jake Funk","LAR","12.3","51.0","0.6","4.7","37.5","0.2","0.1","13.4"
"Jordan Howard","PHI","19.6","76.4","0.8","1.2","9.5","0.0","0.0","13.3"
"Eno Benjamin","ARI","19.7","84.5","0.5","2.3","18.6","0.0","0.0","13.1"
"Jeremy McNichols","TEN","19.4","87.4","0.3","3.6","22.8","0.0","0.0","13.0"
"Reggie Bonnafon","CAR","19.2","87.9","0.4","2.3","17.7","0.0","0.0","12.9"
"Dare Ogunbowale","JAC","7.1","30.6","0.2","8.6","66.2","0.3","0.1","12.4"
