"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Kirk Cousins","MIN","527.8","355.9","4,248.8","29.5","13.5","34.2","114.0","1.2","4.1","271.7"
"Deshaun Watson","HOU","441.3","302.0","3,606.3","23.0","9.4","71.9","359.8","4.0","2.9","271.6"
"Ryan Fitzpatrick","WAS","580.3","380.0","3,998.3","22.6","17.8","56.3","285.2","4.8","2.3","267.0"
"Baker Mayfield","CLE","525.0","331.6","3,841.9","28.4","12.7","49.5","182.9","2.1","3.3","266.5"
"Carson Wentz","IND","540.3","345.7","3,784.9","25.3","12.9","64.3","279.5","3.5","5.8","264.0"
"Ben Roethlisberger","PIT","652.0","423.2","4,270.2","28.8","14.6","28.0","48.1","0.5","2.3","260.3"
"Justin Fields","CHI","514.0","335.4","3,472.8","22.5","12.7","81.4","446.6","3.5","4.4","260.2"
"Daniel Jones","NYG","549.1","342.9","3,711.0","23.2","14.8","69.3","425.9","2.2","8.5","250.8"
"Jared Goff","DET","602.8","384.8","4,355.7","23.0","15.2","41.1","81.7","2.0","4.1","247.7"
"Zach Wilson","NYJ","550.1","341.8","3,850.8","21.0","15.7","73.6","366.2","2.4","5.6","246.3"
"Sam Darnold","CAR","562.7","356.4","3,990.5","19.8","16.6","50.7","201.5","4.4","3.9","244.4"
"Trey Lance","SF","376.2","247.5","2,904.7","18.9","10.9","78.3","416.9","3.8","3.4","227.5"
"Cam Newton","NE","378.3","251.1","2,770.4","16.5","11.8","89.3","381.9","6.5","2.3","225.6"
"Jameis Winston","NO","467.8","311.8","3,376.9","22.3","15.9","53.0","231.7","1.2","4.4","213.7"
"Drew Lock","DEN","324.9","191.4","2,228.2","13.6","11.2","34.2","137.1","1.3","2.7","137.5"
"Taysom Hill","NO","105.6","69.8","718.6","5.2","3.7","78.1","424.3","4.6","3.2","106.0"
"Teddy Bridgewater","DEN","240.7","144.2","1,633.2","10.5","9.6","28.9","114.1","1.4","1.5","104.6"
"Jimmy Garoppolo","SF","212.3","143.6","1,698.3","10.1","6.2","15.0","28.3","0.2","1.2","97.8"
"Mac Jones","NE","170.5","110.9","1,226.9","7.1","5.1","11.1","42.0","0.5","0.7","73.2"
"Tyrod Taylor","HOU","140.0","89.5","1,020.7","5.9","2.6","12.1","49.5","0.4","0.7","65.1"
"Andy Dalton","CHI","114.6","74.7","765.8","5.0","3.0","8.5","32.7","0.7","0.9","50.3"
"Jacob Eason","IND","62.7","39.3","437.2","2.8","1.8","7.2","31.0","0.4","0.5","29.7"
"Phillip Walker","CAR","67.4","43.0","508.5","1.8","1.9","2.9","10.2","0.2","0.5","24.8"
"Jacoby Brissett","MIA","42.5","27.2","303.4","1.7","1.0","7.1","24.6","0.3","0.3","20.8"
"Taylor Heinicke","WAS","44.6","28.3","300.5","1.7","1.2","4.4","19.5","0.1","0.2","18.8"
"Mason Rudolph","PIT","40.0","25.3","266.3","1.6","1.2","4.9","16.4","0.1","0.1","16.8"
"Trace McSorley","BAL","28.0","17.1","192.0","1.5","0.6","6.1","27.8","0.2","0.1","15.9"
"Kyle Trask","TB","31.6","19.5","226.2","1.7","0.6","1.2","4.6","0.0","0.2","14.8"
"Mitchell Trubisky","BUF","28.6","19.1","211.4","1.3","0.9","4.8","23.9","0.1","0.1","14.8"
"Chad Henne","KC","30.1","19.0","213.1","1.5","0.4","2.5","11.5","0.0","0.1","14.6"
"Chris Streveler","ARI","31.9","18.9","212.6","1.2","0.9","3.2","13.4","0.2","0.2","13.4"
"AJ McCarron","ATL","30.6","19.4","224.7","1.4","0.7","1.0","4.3","0.1","0.2","13.3"
"Blaine Gabbert","TB","27.0","16.0","182.0","1.0","0.0","4.0","16.0","0.0","0.0","12.9"
"Garrett Gilbert","DAL","29.4","18.5","205.1","1.3","0.9","3.1","12.3","0.0","0.1","12.7"
"Tyler Huntley","BAL","19.0","12.0","136.0","1.0","0.0","6.0","32.0","0.0","0.0","12.6"
"Jordan Love","GB","29.9","17.7","196.3","1.6","1.0","1.2","5.3","0.1","0.2","12.6"
"Chase Daniel","LAC","29.1","18.8","208.5","1.2","0.9","3.1","11.5","0.0","0.1","12.5"
"Marcus Mariota","LV","25.7","16.7","187.0","1.1","0.9","3.8","18.0","0.1","0.1","12.0"
"John Wolford","LAR","28.0","17.8","193.2","1.2","0.9","3.1","13.1","0.0","0.1","12.0"
"Brandon Allen","CIN","28.9","18.5","199.8","1.2","0.9","2.5","10.2","0.0","0.1","11.8"
"Geno Smith","SEA","25.9","16.4","181.6","1.3","0.5","2.0","3.7","0.0","0.2","11.7"
"C.J. Beathard","JAC","28.5","17.3","194.1","1.1","0.4","2.4","9.8","0.0","0.6","11.3"
"James Morgan","NYJ","29.6","18.0","206.1","1.0","0.8","1.2","5.2","0.1","0.2","11.2"
"David Blough","DET","27.9","16.9","188.5","1.0","0.9","2.6","10.0","0.0","0.1","10.8"
"Kellen Mond","MIN","21.0","13.3","153.2","1.1","0.4","1.7","7.8","0.1","0.1","10.7"
"Colt McCoy","ARI","24.0","16.0","169.0","1.0","1.0","3.0","16.0","0.0","0.0","10.4"
"Matt Schaub","ATL","28.0","18.0","201.0","1.0","1.0","4.0","3.0","0.0","0.0","10.3"
"Mike Glennon","NYG","26.3","16.8","177.9","1.2","0.9","2.4","11.2","0.0","0.6","10.0"
"Logan Woodside","TEN","19.3","11.9","133.4","1.2","0.4","2.9","8.7","0.0","0.1","10.0"
"Dwayne Haskins","PIT","28.0","17.0","170.0","1.0","1.0","3.0","10.0","0.0","0.0","9.8"
"Joe Flacco","PHI","27.5","16.1","170.6","1.1","0.8","2.4","11.5","0.0","0.6","9.6"
"Sam Ehlinger","IND","18.0","12.0","128.0","1.0","0.0","1.0","4.0","0.0","0.0","9.5"
"Jarrett Stidham","NE","21.0","14.0","152.0","1.0","1.0","5.0","10.0","0.0","0.0","9.1"
"Blake Bortles","GB","17.0","11.0","117.0","1.0","0.0","4.0","4.0","0.0","0.0","9.1"
"Case Keenum","CLE","22.1","14.2","158.3","1.1","0.7","1.7","7.3","0.0","0.6","9.0"
"Tim Boyle","DET","12.0","8.0","88.0","1.0","0.0","4.0","3.0","0.0","0.0","7.8"
"Nate Sudfeld","SF","18.6","11.7","130.3","0.9","0.5","0.7","2.7","0.0","0.1","7.7"
"Ian Book","NO","17.0","12.0","121.0","1.0","1.0","1.0","4.0","0.0","0.0","7.2"
"Davis Mills","HOU","14.2","9.5","111.8","0.7","0.2","0.7","2.3","0.0","0.0","7.2"
"Nick Mullens","SF","24.0","17.0","200.0","1.0","1.0","5.0","9.0","0.0","2.0","6.9"
""
""
