"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","615.0","407.9","4,677.2","33.4","12.9","106.8","520.9","8.7","5.1","388.7"
"Patrick Mahomes II","KC","645.0","430.8","5,070.3","37.4","9.6","49.4","239.3","2.9","2.5","369.8"
"Kyler Murray","ARI","584.1","386.2","4,105.9","26.8","14.1","126.1","722.6","7.8","3.7","354.8"
"Lamar Jackson","BAL","457.4","289.1","3,333.0","28.4","14.0","158.5","980.4","6.1","4.0","345.3"
"Justin Herbert","LAC","632.5","415.4","4,725.4","30.5","12.8","59.0","261.4","5.8","2.6","340.8"
"Aaron Rodgers","GB","573.9","388.1","4,450.4","36.6","8.5","42.7","171.9","2.0","3.1","330.0"
"Dak Prescott","DAL","609.9","403.8","4,624.7","30.8","12.9","56.4","264.7","4.7","4.1","329.2"
"Tom Brady","TB","630.8","406.0","4,804.1","35.8","13.3","30.2","27.1","2.6","2.2","322.6"
"Russell Wilson","SEA","545.1","361.8","4,098.5","32.3","13.1","79.1","443.9","2.1","3.5","317.3"
"Jalen Hurts","PHI","558.6","337.7","3,728.4","21.3","15.3","143.1","737.9","6.0","4.9","303.9"
"Ryan Tannehill","TEN","496.4","326.0","3,922.9","29.8","10.2","51.1","233.7","4.3","2.9","298.9"
"Trevor Lawrence","JAC","617.4","397.0","4,293.2","25.1","12.8","71.6","415.5","2.9","5.3","295.3"
"Joe Burrow","CIN","618.9","401.9","4,288.9","26.7","12.3","55.1","245.9","3.4","4.2","290.3"
"Matt Ryan","ATL","638.1","417.3","4,712.9","28.4","14.6","32.5","124.1","1.8","4.3","287.3"
"Derek Carr","LV","566.7","376.7","4,276.7","27.4","11.4","37.6","124.9","2.5","5.3","274.9"
"Tua Tagovailoa","MIA","578.6","384.4","4,097.1","25.4","13.5","53.9","205.3","3.1","1.7","274.2"
"Matthew Stafford","LAR","603.2","401.6","4,482.2","26.2","11.9","38.5","146.4","0.7","3.2","272.8"
