"Player","Team","REC","YDS","TDS","FL","FPTS"
"J.P. Holtz","CHI","5.9","73.2","0.5","0.0","10.3"
"Jeremy Sprinkle","DAL","6.9","71.4","0.5","0.0","10.1"
"Tommy Tremble","CAR","8.6","85.4","0.4","0.5","9.9"
"Daniel Brown","NYJ","5.4","63.6","0.5","0.0","9.4"
"Richard Rodgers","PHI","5.0","65.6","0.5","0.0","9.3"
"Noah Togiai","IND","6.4","60.8","0.5","0.0","9.2"
"Charlie Woerner","SF","5.4","63.9","0.4","0.0","9.0"
"Stephen Anderson","LAC","5.3","65.6","0.4","0.0","9.0"
"Nick Vannett","NO","4.9","52.2","0.6","0.0","8.7"
"Johnny Mundt","LAR","5.4","57.3","0.5","0.0","8.5"
"Zach Gentry","PIT","6.1","54.9","0.5","0.0","8.3"
"Jesse James","CHI","6.1","51.3","0.5","0.0","8.0"
"Josh Oliver","BAL","4.3","44.2","0.4","0.0","7.0"
"Josiah Deguara","GB","4.3","47.1","0.4","0.1","6.9"
"Ben Ellefson","JAC","4.3","43.5","0.3","0.0","6.4"
"Demetrius Harris","ARI","3.8","39.3","0.4","0.0","6.2"
"Luke Stocker","TEN","3.9","37.7","0.4","0.1","5.9"
"Mason Schreck","CIN","3.5","36.6","0.3","0.0","5.2"
"Alize Mack","DET","4.0","39.5","0.2","0.0","5.1"
"Colby Parkinson","SEA","2.8","29.6","0.3","0.0","4.7"
"Dominique Dafney","GB","2.4","25.7","0.2","0.0","3.8"
"Lee Smith","ATL","2.5","24.5","0.2","0.0","3.6"
"Sean McKeon","DAL","2.6","26.7","0.2","0.0","3.5"
"Jordan Franks","CLE","2.2","24.5","0.2","0.0","3.5"
"Trevon Wesco","NYJ","2.3","24.4","0.1","0.0","3.1"
"Cethan Carter","MIA","2.4","24.1","0.1","0.0","3.1"
"Eric Saubert","DEN","2.3","22.8","0.1","0.0","3.1"
"Luke Willson","SEA","1.8","20.2","0.2","0.0","3.1"
"Kaden Smith","NYG","2.5","22.2","0.1","0.0","2.9"
"Ricky Seals-Jones","WAS","1.5","18.3","0.2","0.0","2.8"
"Zach Davidson","MIN","1.7","17.6","0.1","0.0","2.6"
"Farrod Green","IND","1.8","17.8","0.1","0.0","2.5"
"Tanner Hudson","TB","1.5","15.7","0.1","0.0","2.4"
"Temarrick Hemingway","WAS","1.4","16.1","0.1","0.0","2.0"
"Brandon Dillon","MIN","1.3","13.8","0.1","0.0","1.9"
"Eric Tomlinson","BAL","1.2","11.7","0.1","0.0","1.6"
"Matt LaCosse","NE","1.2","12.7","0.1","0.0","1.6"
"Codey McElroy","TB","0.9","8.5","0.1","0.0","1.3"
"Kevin Rader","PIT","0.9","8.7","0.0","0.0","1.1"
"Isaac Nauta","GB","0.8","8.3","0.0","0.0","1.1"
"Garrett Griffin","NO","0.8","8.7","0.0","0.0","1.1"
"Tyrone Swoopes","WAS","0.9","9.6","0.0","0.0","1.0"
"MyCole Pruitt","SF","0.8","8.3","0.0","0.0","0.9"
"Deon Yelder","TEN","0.8","7.3","0.0","0.0","0.9"
"Jason Croom","PHI","0.8","8.5","0.0","0.0","0.8"
"Hakeem Butler","PHI","0.8","8.4","0.0","0.0","0.8"
"Jesper Horsted","CHI","0.8","8.3","0.0","0.0","0.8"
"Cole Hikutini","NYG","0.8","7.2","0.0","0.0","0.7"
"Colin Thompson","CAR","0.7","6.7","0.0","0.0","0.7"
""
""
