"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Tyreek Hill","KC","100.7","1,440.6","12.2","12.9","81.8","0.8","0.7","229.3"
"Davante Adams","GB","123.7","1,492.1","12.6","0.0","0.0","0.0","0.8","223.3"
"Stefon Diggs","BUF","112.8","1,468.8","9.1","2.4","15.5","0.1","1.2","200.8"
"Calvin Ridley","ATL","99.8","1,425.3","9.1","4.8","26.3","0.1","0.8","198.6"
"DeAndre Hopkins","ARI","121.8","1,461.2","7.6","1.5","7.4","0.0","1.5","189.5"
"D.K. Metcalf","SEA","86.6","1,304.9","9.9","0.3","1.3","0.0","1.4","187.4"
"Justin Jefferson","MIN","94.5","1,399.3","7.9","0.4","1.5","0.0","0.8","185.9"
"A.J. Brown","TEN","84.6","1,269.5","9.8","0.5","7.5","0.0","0.9","184.7"
"Keenan Allen","LAC","111.5","1,207.8","7.8","3.0","16.3","0.1","1.0","168.2"
"Mike Evans","TB","76.1","1,116.0","9.6","0.0","0.0","0.0","0.7","167.6"
"Amari Cooper","DAL","92.0","1,212.7","7.4","2.6","12.1","0.0","0.8","165.5"
"Terry McLaurin","WAS","90.2","1,219.3","6.8","1.8","12.1","0.1","0.7","162.6"
"Michael Thomas","NO","103.9","1,237.0","6.7","0.3","-1.0","0.0","0.8","162.5"
"Allen Robinson II","CHI","97.3","1,213.9","6.8","0.3","0.3","0.0","0.7","160.9"
"Adam Thielen","MIN","81.1","1,034.0","9.2","3.2","14.5","0.3","0.7","160.2"
"Robert Woods","LAR","97.8","1,090.1","5.9","15.9","97.8","1.2","0.8","159.7"
"CeeDee Lamb","DAL","83.6","1,093.1","6.7","8.7","62.5","0.6","0.8","157.7"
"Tyler Lockett","SEA","92.5","1,055.5","8.4","1.6","5.7","0.0","0.7","155.3"
"D.J. Moore","CAR","82.9","1,200.6","5.4","3.1","20.1","0.1","0.8","153.3"
"Julio Jones","TEN","78.2","1,107.4","7.2","0.5","-0.5","0.0","0.7","152.8"
"Chris Godwin","TB","82.6","1,077.5","7.4","0.3","2.0","0.0","0.8","151.0"
"Cooper Kupp","LAR","92.4","1,069.5","7.1","2.8","17.5","0.0","0.7","150.3"
"Tee Higgins","CIN","79.5","1,062.8","6.6","2.3","12.3","0.0","0.8","145.8"
"Courtland Sutton","DEN","74.1","1,054.3","6.7","1.7","9.4","0.0","0.8","145.2"
"Odell Beckham Jr.","CLE","71.2","995.9","6.7","5.8","51.4","0.3","0.7","145.1"
"Kenny Golladay","NYG","70.0","1,046.6","6.6","0.0","0.0","0.0","0.7","143.0"
"Ja'Marr Chase","CIN","73.3","1,063.7","6.1","1.5","8.2","0.0","1.2","141.7"
"Brandon Aiyuk","SF","72.5","924.6","6.4","13.8","77.9","0.7","0.7","141.0"
"D.J. Chark Jr.","JAC","76.3","1,026.2","6.1","0.3","3.3","0.0","0.7","138.5"
"Chase Claypool","PIT","69.9","899.1","6.9","8.3","44.0","0.6","0.9","137.7"
"Diontae Johnson","PIT","94.5","983.9","6.3","4.4","27.2","0.1","1.4","136.6"
"Brandin Cooks","HOU","73.5","1,036.4","5.2","0.8","6.8","0.0","0.7","134.4"
"Deebo Samuel","SF","72.1","922.8","4.8","12.9","96.4","0.7","0.8","133.5"
"Robby Anderson","CAR","80.3","989.8","5.2","2.5","12.3","0.1","0.8","130.1"
"JuJu Smith-Schuster","PIT","89.9","905.7","6.8","0.0","0.0","0.0","0.9","129.4"
"Michael Gallup","DAL","62.8","924.8","5.9","0.0","0.0","0.0","0.6","126.7"
"Marquise Brown","BAL","61.0","823.6","7.1","2.5","13.0","0.1","0.6","125.3"
"Jerry Jeudy","DEN","68.2","966.8","4.9","0.0","0.0","0.0","0.8","124.7"
"Jarvis Landry","CLE","74.3","900.0","5.1","2.0","10.1","0.3","0.8","121.7"
"Curtis Samuel","WAS","63.4","744.8","4.9","24.7","129.1","1.1","0.7","121.7"
"Tyler Boyd","CIN","82.0","910.4","5.0","2.1","15.6","0.0","0.8","121.3"
"Laviska Shenault Jr.","JAC","69.7","776.4","4.9","20.2","111.3","0.5","0.7","120.0"
"DeVante Parker","MIA","67.1","858.6","5.7","0.0","0.0","0.0","0.7","119.0"
"DeVonta Smith","PHI","63.5","910.4","4.9","1.0","6.2","0.0","1.2","118.7"
"Mike Williams","LAC","53.5","878.8","5.2","0.3","0.5","0.0","0.6","117.8"
"Will Fuller V","MIA","66.8","850.8","5.3","0.0","0.0","0.0","0.6","115.7"
"T.Y. Hilton","IND","61.7","817.2","5.8","0.0","0.0","0.0","0.6","115.2"
"Marvin Jones Jr.","JAC","62.3","798.9","5.4","0.3","0.0","0.0","0.6","111.1"
"Corey Davis","NYJ","67.4","877.4","4.1","0.0","0.0","0.0","0.8","110.6"
"Mecole Hardman","KC","51.8","722.6","5.5","6.4","43.7","0.1","1.7","106.7"
"Antonio Brown","TB","61.4","686.7","6.1","1.8","11.1","0.0","0.6","104.9"
"Tyrell Williams","DET","55.9","801.9","4.0","0.0","0.0","0.0","0.7","102.8"
"Henry Ruggs III","LV","49.4","760.0","4.1","7.6","42.0","0.1","1.7","102.5"
