"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Cole Beasley","BUF","66.1","763.6","4.5","0.0","0.0","0.0","0.6","102.2"
"Jaylen Waddle","MIA","56.4","749.1","4.6","1.0","5.6","0.0","1.2","100.8"
"Breshad Perriman","DET","52.7","759.2","3.9","1.9","11.3","0.0","0.1","100.4"
"Michael Pittman Jr.","IND","56.1","732.4","4.0","3.4","22.3","0.0","0.7","98.4"
"Emmanuel Sanders","BUF","56.0","684.8","4.8","1.1","6.7","0.1","0.6","97.1"
"Darnell Mooney","CHI","60.4","704.6","4.2","3.3","18.7","0.1","0.7","96.4"
"Jalen Reagor","PHI","53.2","722.5","3.8","3.1","17.3","0.1","0.7","95.9"
"Russell Gage","ATL","66.6","721.8","4.0","1.5","6.3","0.0","0.6","95.9"
"Nelson Agholor","NE","49.7","704.7","4.3","0.3","1.3","0.0","0.7","95.1"
"Gabriel Davis","BUF","42.9","634.4","5.0","0.3","0.0","0.0","0.1","93.1"
"Allen Lazard","GB","48.0","661.7","4.1","1.3","9.7","0.0","0.6","90.4"
"John Brown","LV","47.9","651.1","3.7","0.3","1.0","0.0","0.6","86.3"
"Tre'Quan Smith","NO","40.1","576.4","4.6","0.3","0.5","0.0","0.1","85.0"
"Marquez Valdes-Scantling","GB","34.5","593.0","4.2","2.5","14.8","0.0","0.6","84.9"
"A.J. Green","ARI","51.2","626.3","3.9","0.0","0.0","0.0","0.7","84.9"
"Christian Kirk","ARI","47.8","578.5","4.1","3.9","27.0","0.0","0.6","84.1"
"Sterling Shepard","NYG","58.9","600.7","3.4","3.3","25.8","0.3","0.6","83.8"
"Rashod Bateman","BAL","43.1","569.4","4.4","0.8","4.8","0.0","0.6","82.3"
"Jamison Crowder","NYJ","53.8","600.4","3.5","0.3","3.3","0.0","0.6","80.3"
"Elijah Moore","NYJ","48.6","591.1","3.0","0.7","4.2","0.0","0.4","77.1"
"Darius Slayton","NYG","41.9","569.3","3.5","0.8","2.6","0.0","0.6","76.9"
"Randall Cobb","HOU","49.0","605.2","2.9","0.5","1.3","0.0","0.7","76.7"
"Parris Campbell","IND","43.6","527.3","3.4","4.9","30.7","0.2","0.4","76.6"
"Rondale Moore","ARI","47.1","581.4","3.2","1.1","6.2","0.0","1.2","75.9"
"Terrace Marshall Jr.","CAR","44.7","582.6","3.2","0.5","2.8","0.0","1.1","75.5"
"DeSean Jackson","LAR","33.8","543.8","3.4","1.6","10.6","0.0","0.6","75.3"
"Hunter Renfrow","LV","45.4","547.2","2.9","0.0","0.0","0.0","0.6","71.2"
"Jakobi Meyers","NE","42.8","541.0","2.4","0.8","4.1","0.0","0.4","68.2"
"Chris Conley","HOU","35.9","506.4","2.8","0.0","0.0","0.0","0.2","67.0"
"Denzel Mims","NYJ","36.6","518.3","2.2","0.3","0.8","0.0","0.1","65.0"
"Josh Reynolds","TEN","36.1","469.6","3.1","0.8","4.5","0.0","0.6","64.8"
"Keelan Cole Sr.","NYJ","37.0","475.7","3.0","0.0","0.0","0.0","0.5","64.6"
"Van Jefferson","LAR","37.4","454.2","3.1","0.3","0.0","0.0","0.1","64.1"
"Sammy Watkins","BAL","35.1","429.7","3.4","0.8","7.5","0.0","0.6","62.8"
"Amon-Ra St. Brown","DET","39.9","482.9","2.4","0.0","0.0","0.0","0.2","62.5"
"Rashard Higgins","CLE","29.8","448.4","3.0","0.0","0.0","0.0","0.6","61.4"
"James Washington","PIT","32.4","441.6","2.8","0.0","0.0","0.0","0.6","60.1"
"Demarcus Robinson","KC","34.5","411.2","3.2","0.0","0.0","0.0","0.6","59.0"
"D'Wayne Eskridge","SEA","33.0","404.4","3.0","0.7","3.7","0.0","0.2","58.8"
"Anthony Miller","CHI","35.6","409.3","2.4","2.9","15.9","0.1","0.3","57.0"
"Zach Pascal","IND","27.5","377.8","3.1","0.3","2.0","0.0","0.0","56.7"
"Jalen Guyton","LAC","27.4","420.7","2.3","2.0","7.9","0.1","0.1","56.7"
"KJ Hamler","DEN","30.2","360.2","2.4","10.1","50.0","0.2","0.6","55.3"
"Josh Palmer","LAC","28.9","397.3","2.4","0.7","3.7","0.0","0.6","53.3"
"Kendrick Bourne","NE","31.5","398.9","2.2","0.0","0.0","0.0","0.1","53.1"
"Kadarius Toney","NYG","31.5","375.5","2.0","4.4","28.2","0.1","0.4","52.7"
"Tim Patrick","DEN","29.6","384.8","2.5","0.0","0.0","0.0","0.6","52.5"
"Olamide Zaccheaus","ATL","27.0","394.8","1.9","0.3","1.4","0.0","0.1","51.1"
"Preston Williams","MIA","24.5","315.7","2.9","0.0","0.0","0.0","0.6","48.0"
"Marquez Callaway","NO","29.4","356.0","2.1","0.0","0.0","0.0","0.1","47.9"
"Nico Collins","HOU","27.5","366.8","1.9","0.0","0.0","0.0","0.2","47.8"
"Amari Rodgers","GB","26.4","323.4","1.9","2.7","16.3","0.1","0.2","45.6"
"Mohamed Sanu","SF","32.8","339.5","2.0","1.3","5.7","0.0","0.5","45.5"
"Tyron Johnson","LAC","19.9","312.2","2.1","2.3","13.0","0.0","0.1","45.3"
"Deonte Harris","NO","25.9","291.7","1.5","8.4","54.2","0.2","0.3","44.2"
"Dyami Brown","WAS","22.8","315.2","1.7","0.0","0.0","0.0","0.1","41.7"
"Keke Coutee","HOU","27.6","324.4","1.7","0.7","3.7","0.3","2.1","40.9"
"Byron Pringle","KC","22.7","290.9","2.0","0.0","0.0","0.0","0.2","40.7"
"Quintez Cephus","DET","23.8","316.4","1.5","0.0","0.0","0.0","0.2","40.2"
"Bryan Edwards","LV","21.1","294.8","1.8","0.0","0.0","0.0","0.1","40.2"
"Richie James Jr.","SF","23.2","357.5","1.4","0.8","0.0","0.0","2.1","40.1"
"Travis Fulgham","PHI","22.7","296.2","1.6","0.0","0.0","0.0","0.1","39.2"
"N'Keal Harry","NE","21.7","257.3","1.8","1.0","5.7","0.0","0.1","37.0"
"Scotty Miller","TB","17.0","245.3","1.8","1.4","7.7","0.1","0.1","36.5"
"Geronimo Allison","DET","25.3","276.3","1.4","0.0","0.0","0.0","0.1","36.0"
"Isaiah McKenzie","BUF","18.9","201.4","1.9","5.7","28.4","0.2","0.1","35.5"
"Tutu Atwell","LAR","21.2","275.7","1.4","0.0","0.0","0.0","0.2","35.3"
"Isaiah Coulter","HOU","17.3","271.5","1.5","1.0","4.0","0.0","1.0","34.5"
"Auden Tate","CIN","20.5","260.0","1.4","0.0","0.0","0.0","0.1","34.3"
"Adam Humphries","WAS","24.7","266.8","1.3","0.0","0.0","0.0","0.1","33.9"
"Steven Sims Jr.","WAS","16.6","163.6","1.6","2.7","22.7","0.4","0.5","29.1"
"Greg Ward","PHI","22.1","220.2","1.2","0.0","0.0","0.0","0.2","28.9"
"Donovan Peoples-Jones","CLE","14.4","221.1","1.2","0.3","1.0","0.0","0.5","28.3"
"Devin Duvernay","BAL","17.3","190.6","1.3","1.7","11.7","0.0","0.1","27.8"
"Dez Fitzpatrick","TEN","15.4","200.3","1.0","0.0","0.0","0.0","0.1","25.9"
"Andre Roberts","HOU","15.0","195.0","1.0","0.0","0.0","0.0","0.0","25.5"
"Donte Moncrief","HOU","13.7","173.5","1.1","0.0","0.0","0.0","0.0","24.2"
"Collin Johnson","JAC","15.7","192.5","0.7","0.0","0.0","0.0","0.1","23.5"
"David Moore","CAR","11.6","160.8","1.0","1.2","7.8","0.0","0.1","22.7"
"Willie Snead IV","LV","14.5","167.3","0.9","0.0","0.0","0.0","0.1","21.9"
"Freddie Swain","SEA","12.4","155.9","1.0","0.0","0.0","0.0","0.1","21.6"
"Phillip Dorsett II","JAC","12.9","157.1","1.0","0.0","0.0","0.0","0.0","21.4"
"Olabisi Johnson","MIN","12.9","153.9","1.0","0.0","0.0","0.0","0.0","21.1"
"Cam Sims","WAS","12.1","163.6","0.8","0.0","0.0","0.0","0.0","20.9"
"Chad Beebe","MIN","11.5","141.3","0.9","0.0","0.0","0.0","0.1","19.5"
"Miles Boykin","BAL","9.9","133.0","0.8","0.8","4.9","0.0","0.1","18.6"
"Lynn Bowden Jr.","MIA","11.6","106.9","0.3","10.2","49.2","0.2","0.1","18.4"
"KeeSean Johnson","ARI","10.6","121.3","1.0","0.0","0.0","0.0","0.0","18.1"
"Jalen Hurd","SF","8.0","101.9","0.6","4.6","28.2","0.2","0.1","17.7"
"Christian Blake","ATL","12.5","146.0","0.5","0.0","0.0","0.0","0.1","17.4"
"Ray-Ray McCloud","PIT","11.5","114.0","0.7","3.0","18.8","0.1","0.2","17.3"
"Jamal Agnew","JAC","6.9","77.3","0.4","6.1","33.1","0.2","0.1","14.8"
"Tyler Johnson","TB","8.1","102.7","0.7","0.0","0.0","0.0","0.0","14.7"
"Jeff Smith","NYJ","9.6","107.2","0.6","0.0","0.0","0.0","0.0","14.4"
"Marquise Goodwin","CHI","10.8","112.4","0.5","0.0","0.0","0.0","0.0","14.2"
"Cedrick Wilson","DAL","8.3","108.9","0.6","0.0","0.0","0.0","0.1","14.2"
"Alex Erickson","HOU","9.4","107.3","0.5","0.0","0.0","0.0","0.1","13.6"
"Cameron Batson","TEN","7.2","80.2","0.6","2.5","14.9","0.1","0.1","13.5"
"Mike Thomas","CIN","7.5","94.0","0.6","0.0","0.0","0.0","0.1","12.7"
"Chris Moore","HOU","8.3","92.6","0.6","0.0","0.0","0.0","0.0","12.6"
"Noah Brown","DAL","7.4","90.8","0.6","0.0","0.0","0.0","0.1","12.3"
"Equanimeous St. Brown","GB","6.5","88.2","0.6","0.0","0.0","0.0","0.0","12.2"
"Frank Darby","ATL","7.3","92.3","0.5","0.0","0.0","0.0","0.0","11.9"
"Andy Isabella","ARI","7.2","90.1","0.5","0.0","0.0","0.0","0.0","11.9"
"Anthony Schwartz","CLE","6.8","82.8","0.6","0.0","0.0","0.0","0.0","11.6"
"Penny Hart","SEA","6.7","78.3","0.6","0.7","3.3","0.0","0.0","11.5"
"Juwan Johnson","NO","7.3","97.3","0.2","0.0","0.0","0.0","0.0","11.0"
"Devin Funchess","GB","5.6","71.3","0.6","0.0","0.0","0.0","0.0","10.6"
"Nick Westbrook-Ikhine","TEN","5.8","77.2","0.5","0.0","0.0","0.0","0.0","10.6"
"DaeSean Hamilton","DEN","7.3","75.0","0.5","0.0","0.0","0.0","0.0","10.4"
"Antonio Gandy-Golden","WAS","5.6","74.1","0.4","0.0","0.0","0.0","0.0","9.8"
"John Ross","NYG","4.3","56.4","0.5","0.7","3.9","0.0","0.1","9.2"
"Javon Wims","CHI","5.2","70.9","0.2","0.0","0.0","0.0","0.0","8.0"
"Tajae Sharpe","ATL","4.6","58.6","0.4","0.0","0.0","0.0","0.0","8.0"
"Albert Wilson","MIA","4.8","48.5","0.3","1.6","8.8","0.0","0.0","7.8"
"Victor Bolden Jr.","DET","5.2","56.2","0.3","0.0","0.0","0.0","0.0","7.5"
"Kalif Raymond","DET","4.9","64.9","0.1","0.0","0.0","0.0","0.0","7.3"
"Diontae Spencer","DEN","3.6","40.0","0.2","2.4","13.6","0.1","0.0","7.1"
"Malik Taylor","GB","4.3","50.1","0.3","0.0","0.0","0.0","0.0","7.1"
"Ihmir Smith-Marsette","MIN","4.6","60.9","0.1","0.0","0.0","0.0","0.0","6.8"
"Cornell Powell","KC","3.8","48.7","0.3","0.0","0.0","0.0","0.0","6.8"
"Isaiah Hodgins","BUF","3.7","46.8","0.3","0.0","0.0","0.0","0.0","6.6"
"J.J. Nelson","IND","3.0","46.3","0.3","0.0","0.0","0.0","0.0","6.6"
"Lil'Jordan Humphrey","NO","3.6","47.2","0.3","0.0","0.0","0.0","0.0","6.5"
"Jaelon Darden","TB","4.2","48.0","0.3","0.0","0.0","0.0","0.0","6.5"
"Justin Watson","TB","4.1","44.4","0.3","0.0","0.0","0.0","0.0","6.5"
"Isaac Whitney","ARI","4.1","47.0","0.3","0.0","0.0","0.0","0.0","6.3"
"Marcus Johnson","TEN","3.6","43.7","0.3","0.0","0.0","0.0","0.0","6.3"
"Greg Dortch","ATL","4.1","46.9","0.3","0.0","0.0","0.0","0.0","6.3"
"Jakeem Grant Sr.","MIA","3.2","35.2","0.2","1.5","8.4","0.0","0.0","5.9"
"Chester Rogers","TEN","3.9","38.2","0.3","0.0","0.0","0.0","0.0","5.7"
"Gunner Olszewski","NE","2.8","33.6","0.2","1.8","9.8","0.1","0.0","5.7"
"Zay Jones","LV","3.3","37.4","0.3","0.0","0.0","0.0","0.0","5.6"
"Tylan Wallace","BAL","3.0","38.7","0.3","0.0","0.0","0.0","0.0","5.5"
"Dazz Newsome","CHI","3.3","42.6","0.2","0.0","0.0","0.0","0.0","5.5"
"Trent Taylor","CIN","4.0","40.1","0.2","0.0","0.0","0.0","0.0","5.4"
"Quez Watkins","PHI","2.9","38.4","0.2","0.0","0.0","0.0","0.0","4.9"
"Keith Kirkwood","CAR","3.0","38.3","0.2","0.0","0.0","0.0","0.0","4.7"
"Gehrig Dieter","KC","2.4","31.2","0.2","0.0","0.0","0.0","0.0","4.2"
"J.J. Arcega-Whiteside","PHI","2.2","31.0","0.2","0.0","0.0","0.0","0.0","4.0"
"Damiere Byrd","CHI","2.4","29.9","0.2","0.0","0.0","0.0","0.0","3.9"
"Travis Benjamin","SF","1.9","27.0","0.2","0.0","0.0","0.0","0.0","3.7"
"Nsimba Webster","LAR","2.3","28.8","0.1","0.0","0.0","0.0","0.0","3.6"
"Jaydon Mickens","TB","2.0","24.6","0.2","0.0","0.0","0.0","0.0","3.5"
"Simi Fehoko","DAL","1.9","24.3","0.2","0.0","0.0","0.0","0.0","3.3"
"Terry Godwin","JAC","2.0","22.5","0.2","0.0","0.0","0.0","0.0","3.3"
"Brandon Powell","BUF","2.0","22.2","0.2","0.0","0.0","0.0","0.0","3.2"
"K.J. Osborn","MIN","1.9","24.7","0.1","0.0","0.0","0.0","0.0","3.2"
"Jalen Camp","JAC","1.8","23.0","0.1","0.0","0.0","0.0","0.0","3.0"
"Malcolm Perry","MIA","1.2","11.7","0.1","1.8","9.4","0.1","0.0","2.9"
"K.J. Hill Jr.","LAC","1.4","16.7","0.1","1.0","6.3","0.0","0.0","2.9"
"Braxton Berrios","NYJ","1.5","17.4","0.1","1.0","5.8","0.0","0.0","2.9"
"Kendall Hinton","DEN","1.4","15.6","0.1","1.2","6.4","0.0","0.0","2.8"
"Allen Hurns","MIA","1.6","16.8","0.2","0.0","0.0","0.0","0.0","2.8"
"Ashton Dulin","IND","1.2","15.0","0.1","1.2","6.2","0.0","0.0","2.7"
"Seth Williams","DEN","1.7","20.2","0.1","0.0","0.0","0.0","0.0","2.7"
"Shi Smith","CAR","1.7","20.7","0.1","0.0","0.0","0.0","0.0","2.6"
"Trent Sherfield","SF","1.1","14.8","0.1","0.0","0.0","0.0","0.0","1.9"
"Joe Reed","LAC","0.8","9.4","0.0","0.9","4.8","0.0","0.0","1.4"
"Matt Cole","NYJ","0.9","9.5","0.0","0.9","4.3","0.0","0.0","1.4"
"Malik Turner","DAL","1.0","13.5","0.0","0.0","0.0","0.0","0.0","1.4"
"Trey Quinn","LV","1.2","12.3","0.0","0.0","0.0","0.0","0.0","1.2"
"Antonio Callaway","KC","0.9","11.1","0.0","0.0","0.0","0.0","0.0","1.2"
"Damion Ratley","DET","1.0","11.5","0.0","0.0","0.0","0.0","0.0","1.2"
"Kelvin Harmon","WAS","0.8","10.5","0.0","0.0","0.0","0.0","0.0","1.1"
"DeAndre Carter","WAS","0.9","10.4","0.0","0.0","0.0","0.0","0.0","1.0"
"Vyncint Smith","NYJ","0.9","10.1","0.0","0.0","0.0","0.0","0.0","1.0"
"Marcus Kemp","KC","0.9","9.6","0.0","0.0","0.0","0.0","0.0","1.0"
"John Hightower","PHI","0.7","9.6","0.0","0.0","0.0","0.0","0.0","1.0"
"Jason Moore","LAC","0.8","9.6","0.0","0.0","0.0","0.0","0.0","1.0"
"Isaiah Wright","WAS","0.9","9.5","0.0","0.0","0.0","0.0","0.0","1.0"
"Darrius Shepherd","KC","0.9","9.5","0.0","0.0","0.0","0.0","0.0","0.9"
"Josh Malone","NYJ","0.9","9.4","0.0","0.0","0.0","0.0","0.0","0.9"
"Jake Lampman","NO","0.7","9.4","0.0","0.0","0.0","0.0","0.0","0.9"
"Jeff Badet","ATL","0.9","9.3","0.0","0.0","0.0","0.0","0.0","0.9"
"Tanner Gentry","BUF","0.8","9.3","0.0","0.0","0.0","0.0","0.0","0.9"
"Chris Rowland","ATL","0.9","9.3","0.0","0.0","0.0","0.0","0.0","0.9"
"Keelan Doss","LV","0.8","9.3","0.0","0.0","0.0","0.0","0.0","0.9"
"Riley Ridley","CHI","0.8","9.2","0.0","0.0","0.0","0.0","0.0","0.9"
"Chad Hansen","DET","0.9","9.2","0.0","0.0","0.0","0.0","0.0","0.9"
"Trenton Irwin","CIN","0.8","9.2","0.0","0.0","0.0","0.0","0.0","0.9"
"Marcell Ateman","LV","0.7","9.1","0.0","0.0","0.0","0.0","0.0","0.9"
"Lawrence Cager","NYJ","0.8","9.0","0.0","0.0","0.0","0.0","0.0","0.9"
"John Ursua","SEA","0.8","9.0","0.0","0.0","0.0","0.0","0.0","0.9"
"Cyril Grayson Jr.","TB","0.9","9.0","0.0","0.0","0.0","0.0","0.0","0.9"
"Stanley Morgan Jr.","CIN","0.8","9.0","0.0","0.0","0.0","0.0","0.0","0.9"
"KhaDarel Hodge","CLE","0.7","9.0","0.0","0.0","0.0","0.0","0.0","0.9"
"Marvin Hall","NE","0.7","8.9","0.0","0.0","0.0","0.0","0.0","0.9"
"Darvin Kidsy","SEA","0.8","8.9","0.0","0.0","0.0","0.0","0.0","0.9"
"Chad Williams","KC","0.8","8.8","0.0","0.0","0.0","0.0","0.0","0.9"
"Derrick Willies","CLE","0.7","8.8","0.0","0.0","0.0","0.0","0.0","0.9"
"Robert Foster","MIA","0.7","8.8","0.0","0.0","0.0","0.0","0.0","0.9"
"Alexander Hollins","CLE","0.7","8.7","0.0","0.0","0.0","0.0","0.0","0.9"
"Dan Chisena","MIN","0.7","8.7","0.0","0.0","0.0","0.0","0.0","0.9"
"River Cracraft","SF","0.7","8.6","0.0","0.0","0.0","0.0","0.0","0.9"
"JoJo Natson","CLE","0.7","8.6","0.0","0.0","0.0","0.0","0.0","0.9"
"Ja'Marcus Bradley","CLE","0.7","8.6","0.0","0.0","0.0","0.0","0.0","0.9"
"Dante Pettis","NYG","0.7","8.5","0.0","0.0","0.0","0.0","0.0","0.8"
"Laquon Treadwell","JAC","0.8","8.4","0.0","0.0","0.0","0.0","0.0","0.8"
"Mack Hollins","MIA","0.9","8.4","0.0","0.0","0.0","0.0","0.0","0.8"
"Kevin White","SF","0.7","8.3","0.0","0.0","0.0","0.0","0.0","0.8"
"Rashard Davis","TEN","0.7","8.1","0.0","0.0","0.0","0.0","0.0","0.8"
"Cody Hollister","TEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Fred Brown","TEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Tyrie Cleveland","DEN","0.7","8.0","0.0","0.0","0.0","0.0","0.0","0.8"
"C.J. Board","NYG","0.7","7.7","0.0","0.0","0.0","0.0","0.0","0.8"
"Brandon Zylstra","CAR","0.7","7.5","0.0","0.0","0.0","0.0","0.0","0.8"
"Ishmael Hyman","CAR","0.7","7.4","0.0","0.0","0.0","0.0","0.0","0.7"
"Ryan Switzer","CLE","0.8","7.3","0.0","0.0","0.0","0.0","0.0","0.7"
"James Proche","BAL","0.7","7.0","0.0","0.0","0.0","0.0","0.0","0.7"
""
""
