"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"81",8,"Johnny Mundt",LAR,"11"," 4.2","-","-0.2","10% (1/10)"
"82",9,"Blake Bell",KC,"12"," 4.4","-","-0.4","37% (6/16)"
"83",9,"Troy Fumagalli",NE,"14"," 9.2","-","+0.2","20% (2/10)"
"84",9,"Hunter Bryant",DET,"9"," 3.6","-","-0.8","10% (1/10)"
"85",9,"Kaden Smith",NYG,"10"," 4.6","-","-1.0","18% (3/16)"
"86",9,"Dalton Keene",NE,"14"," 8.8","-","-","-"
"87",9,"Durham Smythe",MIA,"14"," 7.4","-","+1.0","73% (11/15)"
"88",9,"Colby Parkinson",SEA,"9"," 2.0","-","-1.0","14% (1/7)"
"89",9,"Ryan Izzo",HOU,"10"," 6.2","-","-1.2","33% (4/12)"
"90",9,"Pharaoh Brown",HOU,"10"," 4.4","-","+1.0","40% (6/15)"
"91",9,"Derek Carrier",LV,"8"," 4.6","-","-0.8","6% (1/15)"
"92",9,"Luke Farrell",JAC,"7"," 4.4","-","-","-"
"93",9,"Jeremy Sprinkle",DAL,"7"," 2.8","-","-0.9","0% (0/16)"
"94",9,"Jaeden Graham",ATL,"6"," 4.6","-","-1.3","6% (1/16)"
"95",9,"Stephen Anderson",LAC,"7"," 6.2","-61","+0.5","20% (2/10)"
"96",9,"Tommy Sweeney",BUF,"7"," 3.2","-","-0.1","0% (0/4)"
"97",9,"John Bates",WAS,"9"," 4.0","-","-","-"
"98",9,"Thaddeus Moss",CIN,"10"," 6.0","-","-","-"
"99",9,"Jared Pinkney",TEN,"13"," 1.4","-","-","-"
"100",9,"Lee Smith",ATL,"6"," 4.6","-","-0.4","14% (2/14)"
"101",9,"Charlie Woerner",SF,"6"," 5.6","-","-0.5","14% (2/14)"
"102",9,"Demetrius Harris",ARI,"12","-","-","-1.2","14% (2/14)"
"103",9,"Zach Davidson",MIN,"7"," 6.0","-","-","-"
"104",9,"Ian Bunting",ARI,"12","-","-","-","-"
"105",9,"Antony Auclair",HOU,"10","-","-","-","-"
"106",9,"Kenny Yeboah",NYJ,"6"," 4.8","-","-","-"
"107",10,"Zach Gentry",PIT,"7"," 9.2","-","-1.4","0% (0/6)"
"108",10,"Garrett Griffin",NO,"6"," 5.8","-","-1.4","0% (0/2)"
"109",10,"Jordan Thomas",IND,"14"," 8.4","-","-0.6","8% (1/12)"
"110",10,"Jesse James",CHI,"10","-","-","-0.5","18% (3/16)"
"111",10,"Brandon Dillon",MIN,"7"," 6.0","-","-0.1","0% (0/1)"
"112",10,"Stephen Sullivan",CAR,"13"," 3.8","-","-","-"
"113",10,"Ricky Seals-Jones",WAS,"9"," 4.0","-","-1.7","0% (0/6)"
