"Player","Team","FG","FGA","XPT","FPTS"
"Harrison Butker","KC","29.8","33.8","50.4","139.8"
"Justin Tucker","BAL","28.7","33.0","47.9","134.0"
"Tyler Bass","BUF","27.9","33.3","48.3","131.9"
"Greg Zuerlein","DAL","29.3","36.1","43.6","131.5"
"Rodrigo Blankenship","IND","29.0","35.0","41.1","128.0"
"Jason Sanders","MIA","30.0","34.8","37.5","127.6"
"Jason Myers","SEA","27.5","31.4","44.4","126.9"
"Younghoe Koo","ATL","30.0","34.0","35.5","125.5"
"Mason Crosby","GB","24.7","27.7","50.9","125.1"
"Robbie Gould","SF","27.2","33.9","43.4","124.9"
"Ryan Succop","TB","26.4","31.4","45.7","124.9"
"Matt Gay","LAR","28.7","34.2","37.5","123.7"
"Wil Lutz","NO","26.5","32.1","44.0","123.6"
"Cody Parkey","CLE","26.9","31.9","42.3","122.9"
"Daniel Carlson","LV","27.9","34.0","38.8","122.4"
"Michael Badgley","LAC","27.3","35.3","40.2","122.1"
"Matt Prater","ARI","26.4","31.6","42.2","121.3"
"Ka'imi Fairbairn","HOU","27.9","32.9","37.0","120.8"
"Graham Gano","NYG","29.3","32.7","32.6","120.6"
"Cairo Santos","CHI","27.3","33.1","36.4","118.4"
"Tucker McCann","TEN","23.9","28.6","46.7","118.3"
"Nick Folk","NE","27.3","31.4","36.3","118.1"
"Greg Joseph","MIN","24.7","29.9","43.6","117.9"
"Stephen Gostkowski","TEN","23.6","29.4","46.3","117.2"
"Brandon McManus","DEN","27.6","31.9","34.0","116.7"
"Evan McPherson","CIN","26.9","33.0","35.8","116.5"
"Chris Boswell","PIT","25.5","29.0","37.2","113.8"
"Dustin Hopkins","WAS","26.1","32.1","34.4","112.6"
"Joey Slye","CAR","26.7","33.4","32.6","112.6"
"Randy Bullock","DET","25.9","31.4","32.7","110.4"
"Josh Lambo","JAC","25.9","28.7","31.9","109.6"
"Austin Seibert","CIN","25.3","33.9","27.9","103.9"
"Sam Ficken","NYJ","24.9","31.3","28.6","103.4"
"Jake Elliott","PHI","22.4","27.3","33.6","100.9"
"Chase McLaughlin","CLE","0.0","0.0","0.0","0.0"
""
""
