"Player","Team","FG","FGA","XPT","FPTS"
"Harrison Butker","KC","29.9","33.9","50.4","140.2"
"Greg Zuerlein","DAL","31.0","38.5","47.0","139.8"
"Justin Tucker","BAL","28.8","33.0","47.4","133.8"
"Jason Sanders","MIA","30.6","35.4","40.7","132.7"
"Ryan Succop","TB","28.3","33.2","47.2","131.9"
"Tyler Bass","BUF","28.2","34.0","46.1","130.8"
"Younghoe Koo","ATL","30.2","34.1","39.9","130.5"
"Robbie Gould","SF","28.4","34.1","45.3","130.4"
"Rodrigo Blankenship","IND","28.8","34.7","42.4","128.7"
"Jason Myers","SEA","27.3","31.3","43.7","125.7"
"Michael Badgley","LAC","27.9","34.8","41.5","125.3"
"Cairo Santos","CHI","28.6","34.2","38.5","124.2"
"Cody Parkey","CLE","26.6","30.8","44.2","123.9"
"Daniel Carlson","LV","28.1","33.7","39.5","123.8"
"Wil Lutz","NO","26.6","31.9","43.4","123.4"
"Matt Gay","LAR","27.7","33.6","39.1","122.3"
"Graham Gano","NYG","28.6","31.7","35.3","121.2"
"Mason Crosby","GB","23.5","26.0","49.9","120.5"
"Matt Prater","ARI","25.9","31.5","42.7","120.2"
"Ka'imi Fairbairn","HOU","26.4","31.3","40.1","119.4"
"Tucker McCann","TEN","24.5","28.9","45.1","118.6"
"Evan McPherson","CIN","27.4","33.0","35.8","118.0"
"Greg Joseph","MIN","24.4","28.8","44.5","117.6"
"Chris Boswell","PIT","25.9","28.4","39.8","117.6"
"Nick Folk","NE","26.4","30.1","37.6","116.8"
"Dustin Hopkins","WAS","26.5","32.2","37.3","116.7"
"Brandon McManus","DEN","27.4","31.4","33.8","116.1"
"Joey Slye","CAR","26.9","33.1","32.8","113.4"
"Josh Lambo","JAC","25.8","28.7","35.0","112.4"
"Randy Bullock","DET","25.7","30.4","33.4","110.4"
"Kai Forbath","LAR","24.0","28.0","32.0","104.0"
"Sam Ficken","NYJ","25.1","31.7","28.6","103.9"
"Jake Elliott","PHI","21.8","26.8","33.7","99.1"
"Chase McLaughlin","CLE","0.0","0.0","0.0","0.0"
""
""
