"Player","Team","FG","FGA","XPT","FPTS"
"Harrison Butker","KC","29.9","33.9","50.4","140.2"
"Greg Zuerlein","DAL","30.9","38.5","47.0","139.8"
"Justin Tucker","BAL","28.9","33.1","47.4","134.0"
"Tyler Bass","BUF","28.7","33.9","46.7","132.7"
"Jason Sanders","MIA","30.6","35.4","40.8","132.6"
"Ryan Succop","TB","28.3","33.2","47.1","131.9"
"Younghoe Koo","ATL","30.2","34.1","40.4","131.1"
"Rodrigo Blankenship","IND","28.8","34.7","42.9","129.2"
"Jason Myers","SEA","27.3","31.4","44.1","126.1"
"Robbie Gould","SF","27.4","33.6","43.8","125.9"
"Cairo Santos","CHI","28.6","34.7","38.4","124.2"
"Michael Badgley","LAC","27.4","34.7","42.0","124.1"
"Daniel Carlson","LV","28.1","33.7","39.4","123.7"
"Cody Parkey","CLE","26.6","30.9","43.8","123.7"
"Wil Lutz","NO","26.6","31.8","43.4","123.2"
"Matt Prater","ARI","26.4","31.5","42.6","121.7"
"Graham Gano","NYG","28.8","31.9","35.0","121.4"
"Mason Crosby","GB","23.5","26.0","49.9","120.5"
"Evan McPherson","CIN","27.8","34.0","36.8","120.4"
"Ka'imi Fairbairn","HOU","26.4","31.3","40.6","119.9"
"Matt Gay","LAR","27.2","32.9","38.3","119.9"
"Stephen Gostkowski","TEN","25.0","31.0","44.0","119.0"
"Nick Folk","NE","26.4","30.1","38.3","117.5"
"Tucker McCann","TEN","24.0","28.8","45.1","117.2"
"Dustin Hopkins","WAS","26.4","32.2","37.2","116.4"
"Brandon McManus","DEN","27.4","31.4","33.8","116.1"
"Chris Boswell","PIT","25.4","28.3","39.8","116.0"
"Greg Joseph","MIN","24.7","29.5","40.9","115.1"
"Josh Lambo","JAC","26.3","29.2","35.5","114.4"
"Joey Slye","CAR","26.9","33.1","33.4","113.9"
"Randy Bullock","DET","25.7","30.4","33.3","110.4"
"Sam Ficken","NYJ","25.3","31.9","28.8","104.7"
"Kai Forbath","LAR","24.0","28.0","32.0","104.0"
"Jake Elliott","PHI","21.8","26.7","33.6","99.0"
"Chase McLaughlin","CLE","0.0","0.0","0.0","0.0"
""
""
