"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"117",10,"Travis Homer",SEA,"9"," 2.0","-","-0.2","30% (3/10)"
"118",10,"Kene Nwangwu",MIN,"7"," 4.4","-","-","-"
"119",10,"Kyle Juszczyk",SF,"6"," 4.2","-","+1.4","50% (8/16)"
"120",10,"Raymond Calais",LAR,"11"," 4.0","-","-2.6","0% (0/2)"
"121",10,"Devonta Freeman",NO,"6"," 4.4","-","-2.6","33% (2/6)"
"122",10,"LeSean McCoy",FA,"-"," 2.0","-","-1.0","21% (3/14)"
"123",10,"Trayveon Williams",CIN,"10"," 6.6","-","-0.4","27% (3/11)"
"124",10,"Alex Collins",SEA,"9"," 2.0","-","+1.9","33% (1/3)"
"125",10,"D'Onta Foreman",ATL,"6"," 5.8","-37","+0.4","42% (3/7)"
"126",10,"Gary Brightwell",NYG,"10"," 2.0","-","-","-"
"127",10,"D'Ernest Johnson",CLE,"13"," 8.4","-","-0.5","26% (4/15)"
"128",10,"Ty Montgomery",NO,"6"," 3.4","-","-0.9","14% (1/7)"
"129",10,"JaMycal Hasty",SF,"6"," 3.6","-","-1.3","37% (3/8)"
"130",10,"Jeremy McNichols",TEN,"13"," 6.2","-","+0.3","42% (6/14)"
"131",10,"Jaylen Samuels",PIT,"7"," 7.8","-","-0.8","14% (2/14)"
"132",10,"Corey Clement",NYG,"10"," 2.2","-","-1.2","6% (1/15)"
"133",10,"Ameer Abdullah",MIN,"7"," 5.0","-42","+0.4","26% (4/15)"
"134",10,"Alec Ingold",LV,"8"," 7.4","-","0.0","37% (6/16)"
"135",10,"Pooka Williams Jr.",CIN,"10"," 6.4","-59","-","-"
"136",11,"Trenton Cannon",CAR,"13"," 1.4","-","-1.8","13% (2/15)"
"137",11,"C.J. Ham",MIN,"7"," 4.6","-","+0.4","35% (5/14)"
"138",11,"Patrick Ricard",BAL,"8"," 7.0","-","-0.5","20% (3/15)"
"139",11,"Otis Anderson Jr.",LAR,"11"," 4.4","-","-","-"
"140",11,"Stevie Scott III",NO,"6"," 3.2","-","-","-"
"141",11,"Reggie Bonnafon",CAR,"13"," 1.4","-","0.0","20% (1/5)"
"142",11,"Rico Dowdle",DAL,"7"," 4.0","-","-0.8","0% (0/10)"
"143",11,"J.J. Taylor",NE,"14"," 4.6","-","-1.3","25% (3/12)"
"144",11,"Antonio Williams",BUF,"7"," 4.6","-","-","-"
"145",11,"Theo Riddick",LV,"8"," 6.2","-","+0.4","25% (1/4)"
"146",11,"Patrick Laird",MIA,"14"," 5.8","-","-1.0","12% (2/16)"
"147",11,"Brandon Bolden",NE,"14"," 4.6","-","-","-"
"148",11,"Jakob Johnson",NE,"14"," 4.6","-","+0.5","30% (3/10)"
"149",11,"Tony Jones Jr.",NO,"6"," 3.4","-","-5.2","0% (0/1)"
"150",11,"Jonathan Ward",ARI,"12"," 4.6","-","-","-"
